,pitch,start
,76,0.0
,69,120.0
,64,300.0
,64,360.0
,69,390.0
,72,420.0
,76,450.0
,77,0.0
,72,120.0
,65,300.0
,65,360.0
,69,390.0
,72,420.0
,77,450.0
,81,0.0
,79,180.0
,77,210.0
,76,240.0
,72,360.0
,74,0.0
,77,0.0
,69,120.0
,65,300.0
,65,360.0
,69,390.0
,74,420.0
,77,450.0
,76,0.0
,68,120.0
,62,300.0
,62,360.0
,64,390.0
,68,420.0
,74,450.0
,72,0.0
,71,180.0
,69,210.0
,68,240.0
,69,360.0
,71,0.0
,71,240.0
,72,288.0
,74,336.0
,75,384.0
,76,431.0
,76,0.0
,69,120.0
,64,300.0
,64,360.0
,69,390.0
,73,420.0
,76,450.0
,77,0.0
,69,120.0
,62,300.0
,62,360.0
,65,384.0
,69,408.0
,74,431.0
,77,456.0
,81,0.0
,79,180.0
,77,210.0
,76,240.0
,72,360.0
,74,0.0
,77,0.0
,69,120.0
,65,300.0
,65,360.0
,69,390.0
,74,420.0
,77,450.0
,76,0.0
,68,120.0
,62,300.0
,62,360.0
,64,390.0
,69,420.0
,74,450.0
,72,0.0
,72,120.0
,71,160.0
,69,199.0
,70,240.0
,68,360.0
,69,0.0
,69,240.0
,72,270.0
,76,300.0
,76,330.0
,68,360.0
,71,390.0
,76,420.0
,76,450.0
,71,0.0
,74,30.0
,76,60.0
,76,90.0
,69,120.0
,72,150.0
,76,180.0
,76,210.0
,72,240.0
,76,270.0
,81,300.0
,81,330.0
,74,360.0
,77,390.0
,83,420.0
,83,450.0
,80,0.0
,76,120.0
,79,240.0
,77,420.0
,76,440.0
,74,459.0
,76,0.0
,72,120.0
,76,240.0
,76,360.0
,74,420.0
,72,435.0
,71,450.0
,74,465.0
,72,0.0
,71,60.0
,69,120.0
,57,240.0
,60,270.0
,64,300.0
,64,330.0
,56,360.0
,59,390.0
,64,420.0
,64,450.0
,59,0.0
,62,30.0
,64,60.0
,64,90.0
,57,120.0
,60,150.0
,64,180.0
,64,210.0
,60,240.0
,64,270.0
,69,300.0
,69,330.0
,62,360.0
,65,390.0
,71,420.0
,71,450.0
,68,0.0
,64,120.0
,67,240.0
,67,360.0
,65,420.0
,64,435.0
,62,450.0
,65,465.0
,64,0.0
,60,120.0
,59,240.0
,59,360.0
,57,390.0
,56,420.0
,57,450.0
,56,0.0
,59,30.0
,64,60.0
,68,90.0
,71,120.0
,76,180.0
,73,240.0
,76,300.0
,71,360.0
,76,420.0
,69,0.0
,73,30.0
,76,60.0
,78,90.0
,85,120.0
,69,240.0
,71,270.0
,75,300.0
,78,330.0
,83,360.0
,80,0.0
,83,30.0
,88,60.0
,92,90.0
,95,120.0
,88,180.0
,85,240.0
,88,300.0
,83,360.0
,88,420.0
,81,0.0
,85,30.0
,88,60.0
,90,90.0
,97,120.0
,97,240.0
,95,270.0
,93,300.0
,90,330.0
,87,360.0
,81,390.0
,85,420.0
,81,450.0
,83,0.0
,80,30.0
,81,60.0
,78,90.0
,75,120.0
,71,150.0
,73,180.0
,69,210.0
,71,240.0
,68,270.0
,69,300.0
,66,330.0
,63,360.0
,59,390.0
,63,420.0
,66,450.0
,69,0.0
,71,30.0
,75,60.0
,78,90.0
,81,120.0
,78,150.0
,75,180.0
,71,210.0
,69,240.0
,68,270.0
,66,300.0
,68,330.0
,69,360.0
,73,390.0
,71,420.0
,63,450.0
,64,0.0
,64,120.0
,64,240.0
,65,279.0
,64,320.0
,62,360.0
,60,399.0
,62,440.0
,64,0.0
,64,240.0
,65,279.0
,64,320.0
,62,360.0
,60,399.0
,62,440.0
,64,0.0
,64,0.0
,62,180.0
,60,199.0
,64,220.0
,62,240.0
,60,420.0
,59,440.0
,62,459.0
,60,0.0
,59,180.0
,57,199.0
,60,220.0
,59,240.0
,57,420.0
,56,440.0
,59,459.0
,57,0.0
,88,240.0
,89,240.0
,88,240.0
,87,320.0
,88,399.0
,86,0.0
,84,160.0
,84,240.0
,83,399.0
,83,0.0
,81,160.0
,81,240.0
,83,240.0
,81,240.0
,80,320.0
,81,399.0
,79,0.0
,77,160.0
,77,240.0
,76,399.0
,76,0.0
,76,160.0
,74,160.0
,74,240.0
,73,320.0
,74,399.0
,72,0.0
,70,160.0
,70,240.0
,69,399.0
,69,0.0
,68,79.0
,71,160.0
,62,320.0
,64,360.0
,65,399.0
,62,79.0
,64,120.0
,65,160.0
,64,320.0
,65,360.0
,64,399.0
,62,440.0
,60,0.0
,62,40.0
,60,79.0
,59,120.0
,57,160.0
,88,240.0
,89,240.0
,88,240.0
,87,320.0
,88,399.0
,86,0.0
,84,160.0
,84,240.0
,83,399.0
,83,0.0
,81,160.0
,81,240.0
,83,240.0
,81,240.0
,80,320.0
,81,399.0
,79,0.0
,77,160.0
,77,240.0
,76,399.0
,76,0.0
,75,160.0
,75,240.0
,76,240.0
,75,240.0
,74,320.0
,75,399.0
,83,0.0
,79,160.0
,79,240.0
,76,399.0
,76,0.0
,72,160.0
,72,320.0
,74,360.0
