,pitch,start
,64,0.0
,72,0.0
,76,0.0
,66,0.5
,72,0.5
,76,0.5
,68,1.0
,72,1.0
,76,1.0
,69,1.5
,72,1.5
,76,1.5
,71,2.0
,74,2.0
,76,2.0
,73,2.5
,76,2.5
,76,2.5
,64,3.0
,72,3.0
,81,3.0
,65,3.5
,72,3.5
,81,3.5
,66,4.0
,74,4.0
,84,4.0
,67,4.5
,74,4.5
,83,4.5
,68,5.0
,76,5.0
,86,5.0
,69,5.5
,76,5.5
,83,5.5
,69,6.0
,77,6.0
,87,6.0
,70,7.5
,77,7.5
,86,7.5
,68,8.0
,76,8.0
,86,8.0
,69,8.5
,76,8.5
,85,8.5
,66,9.0
,74,9.0
,84,9.0
,67,9.5
,74,9.5
,83,9.5
,64,10.0
,72,10.0
,82,10.0
,65,10.5
,72,10.5
,81,10.5
,65,11.0
,72,11.0
,81,11.0
,64,11.5
,72,11.5
,81,11.5
,63,12.0
,71,12.0
,81,12.0
,64,12.5
,72,12.5
,81,12.5
