,pitch,start
,62,-0.25
,62,0.0
,64,0.75
,65,1.0
,67,1.25
,69,1.5
,70,1.75
,61,2.0
,70,2.25
,69,2.5
,67,2.75
,76,3.0
,67,3.75
,65,0.0
,61,0.25
,62,0.5
,57,0.75
,58,1.0
,62,1.25
,65,1.5
,67,1.75
,61,2.0
,57,2.25
,61,2.5
,64,2.75
,69,3.0
,67,3.164062
,65,3.332031
,67,3.5
,65,3.664062
,64,3.832031
,65,0.0
,62,0.25
,65,0.5
,69,0.75
,70,1.0
,69,1.164062
,67,1.332031
,69,1.5
,67,1.664062
,65,1.832031
,64,2.0
,67,2.25
,70,2.5
,74,2.75
,72,3.0
,70,3.164062
,69,3.332031
,70,3.5
,69,3.664062
,67,3.832031
,69,0.0
,65,0.25
,69,0.5
,72,0.75
,77,1.0
,79,1.25
,81,1.5
,72,1.75
,74,2.0
,69,2.25
,70,2.5
,74,2.75
,79,3.0
,81,3.25
,82,3.5
,74,3.75
,76,0.0
,70,0.25
,72,0.5
,67,0.75
,69,1.0
,70,1.25
,72,1.5
,64,1.75
,65,2.0
,57,2.25
,58,2.5
,67,2.75
,60,3.0
,64,3.25
,67,3.5
,70,3.75
,69,0.0
,67,0.25
,65,0.5
,69,0.75
,74,1.0
,65,1.25
,64,1.5
,62,1.75
,61,2.0
,76,2.25
,77,2.5
,79,2.75
,69,3.0
,79,3.25
,77,3.5
,76,3.75
,77,0.0
,76,0.25
,74,0.5
,64,0.75
,62,1.0
,60,1.25
,59,1.5
,57,1.75
,56,2.0
,71,2.25
,72,2.5
,74,2.75
,64,3.0
,74,3.25
,72,3.5
,71,3.75
,72,0.0
,71,0.25
,69,0.5
,71,0.75
,72,1.0
,77,1.25
,76,1.375
,74,1.5
,72,1.75
,71,2.0
,69,2.25
,67,2.5
,69,2.75
,71,3.0
,76,3.25
,74,3.375
,72,3.5
,71,3.75
,69,0.0
,67,0.25
,65,0.5
,67,0.75
,69,0.875
,62,1.0
,72,1.25
,71,1.5
,69,1.75
,68,2.0
,66,2.25
,64,2.5
,66,2.75
,68,3.0
,69,3.25
,71,3.5
,72,3.75
,74,0.0
,76,0.25
,77,0.5
,76,0.75
,74,1.0
,72,1.25
,71,1.5
,69,1.75
,80,2.0
,81,2.25
,83,2.5
,81,2.75
,80,3.0
,78,3.25
,76,3.5
,74,3.75
,72,0.0
,74,0.25
,76,0.375
,77,0.5
,81,0.75
,71,1.0
,72,1.25
,74,1.375
,76,1.5
,79,1.75
,69,2.0
,71,2.25
,72,2.375
,74,2.5
,77,2.75
,67,3.0
,69,3.25
,71,3.375
,72,3.5
,76,3.75
,65,0.0
,67,0.25
,69,0.375
,71,0.5
,74,0.75
,64,1.0
,66,1.25
,68,1.375
,69,1.5
,72,1.75
,62,2.0
,61,2.25
,62,2.5
,65,2.75
,70,3.0
,72,3.25
,74,3.5
,70,3.75
,65,0.0
,64,0.25
,65,0.5
,70,0.75
,74,1.0
,76,1.25
,77,1.5
,74,1.75
,70,2.0
,69,2.25
,70,2.5
,74,2.75
,77,3.0
,79,3.25
,81,3.375
,82,3.5
,81,3.75
,80,0.0
,83,0.25
,81,0.375
,80,0.5
,77,0.75
,76,0.875
,74,1.0
,77,1.25
,76,1.375
,74,1.5
,71,1.75
,69,1.875
,68,2.0
,71,2.25
,76,2.5
,80,2.75
,83,3.0
,76,3.25
,86,3.5
,84,3.75
,83,3.875
,84,0.0
,83,0.25
,81,0.375
