,pitch,start
,62,0.0
,64,0.5
,62,1.0
,71,2.0
,71,0.0
,69,0.5
,67,0.875
,69,1.125
,67,1.375
,64,1.875
,62,2.375
,67,0.0
,69,0.5
,71,1.0
,74,2.0
,67,2.5
,69,2.75
,71,0.0
,71,0.5
,69,0.75
,69,1.0
,74,0.0
,74,0.5
,74,1.0
,71,1.5
,74,1.75
,71,2.0
,71,0.0
,69,0.5
,71,0.75
,69,1.0
,67,1.5
,64,2.0
,62,0.0
,64,0.5
,62,1.0
,71,2.0
,71,0.0
,69,0.5
,67,1.0
,74,0.0
,76,0.5
,74,1.0
,83,2.0
,83,0.0
,81,0.5
,79,0.875
,81,1.125
,79,1.375
,76,1.875
,74,2.375
,79,0.0
,81,0.5
,83,1.0
,86,2.0
,79,2.5
,81,2.75
,83,0.0
,83,0.5
,81,0.75
,81,1.0
,86,0.0
,86,0.5
,86,1.0
,83,1.5
,86,1.75
,83,2.0
,83,0.0
,81,0.5
,83,0.75
,81,1.0
,79,1.5
,76,2.0
,74,0.0
,76,0.5
,74,1.0
,83,2.0
,83,0.0
,81,0.5
,79,1.0
,64,1.332031
,67,1.664062
,72,2.0
,76,2.332031
,81,2.664062
,79,0.0
,79,1.0
,74,1.664062
,76,2.0
,79,2.332031
,83,2.664062
,86,0.0
,88,1.0
,91,2.0
,93,0.0
,93,1.0
,62,1.664062
,64,2.0
,66,2.25
,67,2.5
,69,2.75
,71,0.0
,71,1.0
,74,1.332031
,76,1.664062
,76,2.0
,74,2.5
,71,0.0
,67,1.0
,71,1.332031
,67,1.664062
,69,2.0
,67,2.5
,64,0.0
,62,1.0
,66,1.332031
,69,1.664062
,74,2.0
,74,0.0
,72,0.5
,71,1.0
,74,0.0
,76,0.5
,74,1.0
,83,2.0
,83,0.0
,81,0.5
,71,1.0
,76,1.5
,74,2.0
,79,0.0
,81,0.5
,83,1.0
,86,2.0
,79,2.5
,81,2.75
,83,0.0
,83,0.5
,81,0.75
,81,1.0
,86,0.0
,86,0.5
,86,1.0
,83,1.5
,86,1.75
,83,2.0
,83,0.0
,83,0.5
,83,0.75
,81,1.0
,79,1.5
,76,2.0
,74,0.0
,74,0.332031
,76,0.664062
,74,1.0
,83,2.0
,83,0.0
,83,0.332031
,81,0.664062
,79,1.0
,62,0.0
,64,0.5
,62,1.0
,71,2.0
,71,0.0
,69,0.5
,67,0.875
,69,1.125
,67,1.375
,64,1.875
,62,2.375
,67,0.0
,69,0.5
,71,1.0
,74,2.0
,67,2.5
,69,2.75
,71,0.0
,71,0.5
,69,0.75
,69,1.0
,74,0.0
,74,0.5
,74,1.0
,71,1.5
,74,1.75
,71,2.0
,71,0.0
,69,0.5
,71,0.75
,69,1.0
,67,1.5
,64,2.0
,62,0.0
,64,0.5
,62,1.0
,71,2.0
,71,0.0
,69,0.5
,67,1.0
,71,1.332031
,74,1.664062
,76,2.0
,79,2.332031
,83,2.664062
,86,0.0
,86,0.5
,86,1.0
,83,1.5
,86,1.75
,83,2.0
,83,0.0
,81,0.5
,83,0.75
,81,1.0
,79,1.5
,76,2.0
,74,0.0
,76,0.5
,74,1.0
,83,2.0
,83,0.0
,81,0.5
,79,1.0
,79,0.0
