,pitch,start
,71,2.0
,83,3.0
,80,0.0
,81,1.0
,78,2.0
,79,3.0
,77,0.0
,78,1.0
,81,2.0
,79,3.0
,77,0.0
,78,1.0
,75,2.0
,76,3.0
,74,0.0
,75,1.0
,78,2.0
,76,3.0
,74,0.0
,75,1.0
,71,2.0
,72,3.0
,70,0.0
,71,1.0
,74,2.0
,72,3.0
,70,0.0
,71,1.0
,74,2.0
,72,3.0
,70,0.0
,71,1.0
,75,2.0
,73,3.0
,70,0.0
,71,1.0
,75,2.0
,73,3.0
,70,0.0
,71,1.0
,81,2.0
,81,0.0
,80,1.0
,78,2.0
,76,3.0
,75,0.0
,73,1.0
,71,2.0
,70,3.0
,69,0.0
,66,1.0
,61,2.0
,63,3.0
,64,0.0
,64,0.0
,64,0.0
,64,0.0
,64,0.0
,64,0.0
,64,0.0
,64,0.0
,64,0.0
,83,1.0
,83,2.0
,83,3.0
,87,0.0
,85,2.0
,83,3.5
,83,0.0
,80,1.0
,80,2.0
,80,3.0
,83,0.0
,81,2.0
,80,3.5
,80,0.0
,80,1.0
,80,2.0
,80,3.0
,80,0.0
,78,2.0
,81,3.0
,80,0.0
,78,2.0
,85,3.0
,83,0.0
,81,1.0
,80,2.0
,78,3.0
,80,0.0
,80,1.0
,80,2.0
,80,3.0
,86,0.0
,85,1.5
,85,2.0
,80,3.0
,83,0.0
,81,1.5
,81,2.0
,78,3.0
,85,0.0
,85,2.0
,83,2.5
,83,2.875
,81,3.0
,80,3.5
,81,0.0
,82,1.5
,83,2.0
,84,3.5
,85,0.0
,85,1.5
,87,2.0
,80,3.5
,88,0.0
,88,1.5
,92,2.0
,90,3.5
,88,0.0
,87,2.0
,85,3.0
,83,0.0
,83,0.0
,81,1.0
,78,2.0
,75,3.0
,83,0.0
,80,1.5
,76,2.0
,76,0.0
,76,1.0
,75,2.0
,76,3.0
,76,0.0
,71,1.5
,68,2.0
,68,3.0
,66,0.0
,76,1.0
,75,2.0
,73,3.0
,71,0.0
,81,1.0
,78,2.0
,75,3.0
,83,0.0
,83,0.0
,81,1.0
,80,3.0
,80,0.0
,78,1.0
,77,2.0
,78,3.0
,88,0.0
,66,1.0
,66,2.0
,66,3.0
,68,0.0
,69,1.75
,68,1.875
,66,2.0
,68,3.0
,71,0.0
,69,2.0
,66,3.0
,64,0.0
,64,1.0
,64,2.0
,64,3.0
,67,0.0
,66,2.0
,64,3.5
,64,0.0
,64,1.0
,64,2.0
,64,3.0
,67,0.0
,66,2.0
,64,3.5
,63,1.0
,66,1.332031
,69,1.664062
,72,2.0
,71,2.332031
,69,2.664062
,78,3.0
,76,3.332031
,75,3.664062
,84,0.0
,83,0.332031
,81,0.664062
,79,1.0
,78,1.332031
,76,1.664062
,75,2.0
,72,2.332031
,71,2.664062
,69,3.0
,67,3.332031
,66,3.664062
,64,0.0
,67,1.0
,66,1.332031
,64,1.664062
,71,2.0
,67,2.5
,64,3.0
,59,3.5
,55,0.0
,79,1.0
,78,1.332031
,76,1.664062
,83,2.0
,79,2.5
,76,3.0
,71,3.5
,72,0.0
,72,1.0
,71,1.332031
,69,1.664062
,78,2.0
,76,2.332031
,75,2.664062
,81,3.0
,79,3.332031
,78,3.664062
,84,0.0
,83,0.332031
,81,0.664062
,79,1.0
,78,1.332031
,76,1.664062
,75,2.0
,72,2.332031
,71,2.664062
,69,3.0
