,pitch,start
,74,2.0
,74,3.0
,75,0.0
,75,1.0
,72,2.0
,70,3.5
,72,3.75
,74,0.0
,70,2.0
,69,2.75
,70,3.0
,67,3.5
,72,0.0
,75,1.0
,69,2.0
,67,3.5
,69,3.75
,67,0.0
,70,1.5
,74,2.0
,74,2.5
,77,0.0
,75,0.125
,75,0.5
,72,1.0
,70,2.5
,72,2.75
,74,0.0
,70,2.0
,69,2.75
,70,3.0
,67,3.5
,72,0.0
,75,1.0
,69,2.0
,67,3.5
,69,3.75
,67,0.0
,74,2.0
,67,3.0
,66,0.0
,69,1.0
,81,2.0
,74,3.0
,79,0.0
,82,1.0
,79,2.0
,73,3.0
,74,0.0
,78,1.0
,78,2.0
,81,3.0
,81,0.0
,86,1.0
,62,3.0
,67,0.0
,67,1.0
,67,2.0
,69,3.0
,71,0.0
,71,1.0
,71,2.0
,67,3.0
,69,0.0
,69,1.0
,69,2.0
,66,3.0
,67,0.0
,66,0.5
,67,1.0
,69,1.5
,67,2.0
,86,0.0
,83,0.332031
,79,0.664062
,74,1.0
,79,1.332031
,83,1.664062
,86,2.0
,83,2.332031
,74,2.664062
,84,3.0
,81,3.332031
,74,3.664062
,83,0.0
,79,0.332031
,74,0.664062
,71,1.0
,74,1.332031
,79,1.664062
,83,2.0
,79,2.332031
,74,2.664062
,79,3.0
,74,3.332031
,71,3.664062
,81,0.0
,76,0.332031
,72,0.664062
,69,1.0
,72,1.332031
,76,1.664062
,78,2.0
,84,2.332031
,81,2.664062
,78,3.0
,74,3.332031
,72,3.664062
,71,0.0
,74,0.332031
,71,0.664062
,79,1.0
,74,1.332031
,71,1.664062
,67,2.0
,74,0.0
,74,2.0
,76,2.5
,74,3.0
,72,3.5
,71,0.0
,69,1.0
,71,2.0
,72,3.0
,74,0.0
,74,2.0
,76,2.5
,74,3.0
,72,3.5
,72,0.0
,71,2.0
,86,0.0
,83,0.332031
,79,0.664062
,74,1.0
,79,1.332031
,83,1.664062
,86,2.0
,83,2.332031
,74,2.664062
,84,3.0
,81,3.332031
,74,3.664062
,83,0.0
,79,0.332031
,74,0.664062
,71,1.0
,74,1.332031
,79,1.664062
,83,2.0
,79,2.332031
,74,2.664062
,79,3.0
,74,3.332031
,71,3.664062
,81,0.0
,76,0.332031
,72,0.664062
,69,1.0
,72,1.332031
,76,1.664062
,78,2.0
,84,2.332031
,81,2.664062
,78,3.0
,74,3.332031
,72,3.664062
,71,0.0
,74,0.332031
,71,0.664062
,79,1.0
,74,1.332031
,71,1.664062
,67,2.0
,74,0.0
,74,2.0
,76,2.5
,74,3.0
,72,3.5
,71,0.0
,69,1.0
,71,2.0
,72,3.0
,74,0.0
,74,2.0
,76,2.5
,74,3.0
,72,3.5
,72,0.0
,71,2.0
,86,0.0
,83,0.332031
,79,0.664062
,74,1.0
,79,1.332031
,83,1.664062
,86,2.0
,83,2.332031
,74,2.664062
,84,3.0
,81,3.332031
,74,3.664062
,83,0.0
,79,0.332031
,74,0.664062
,71,1.0
,74,1.332031
,79,1.664062
,83,2.0
,79,2.332031
,74,2.664062
,79,3.0
,74,3.332031
,71,3.664062
,81,0.0
,76,0.332031
,72,0.664062
,69,1.0
,72,1.332031
,76,1.664062
,78,2.0
,84,2.332031
,81,2.664062
,78,3.0
,74,3.332031
,72,3.664062
,69,0.0
,66,0.332031
,62,0.664062
