,pitch,start
,63,0.0
,63,1.5
,65,2.0
,68,3.0
,70,0.0
,68,1.0
,70,1.5
,72,2.0
,75,0.0
,72,1.5
,72,2.0
,70,2.5
,68,3.0
,70,0.0
,72,0.0
,75,1.5
,75,2.0
,72,3.0
,75,3.5
,68,0.0
,70,1.5
,70,2.0
,63,0.0
,72,1.5
,72,2.0
,70,3.0
,68,0.0
,68,1.5
,72,2.0
,72,2.25
,75,2.5
,75,2.75
,77,3.0
,77,3.25
,80,3.5
,80,3.75
,82,0.0
,82,1.0
,84,1.097656
,82,1.199219
,80,1.296875
,82,1.398438
,84,1.5
,84,2.0
,82,3.0
,80,3.5
,77,0.0
,75,1.0
,77,1.5
,80,2.0
,65,0.0
,73,0.5
,68,1.5
,70,2.0
,72,3.0
,75,0.0
,77,2.5
,75,3.5
,75,0.0
,75,0.5
,75,1.0
,75,1.5
,77,2.0
,75,3.0
,72,3.5
,72,0.0
,70,1.0
,68,1.5
,65,2.0
,63,0.0
,72,1.5
,72,2.0
,70,3.0
,68,0.0
,63,0.0
,63,1.5
,65,2.0
,68,3.0
,70,0.0
,72,0.75
,70,0.875
,68,1.0
,70,1.5
,72,2.0
,77,2.75
,75,3.0
,72,3.25
,75,3.5
,77,3.75
,79,0.0
,87,0.5
,84,1.5
,84,2.0
,85,2.25
,84,2.5
,82,2.75
,80,3.0
,84,3.25
,80,3.5
,77,3.75
,80,0.0
,82,0.5
,77,1.5
,82,2.0
,83,3.5
,84,0.0
,87,1.5
,89,2.0
,87,2.5
,84,3.0
,87,3.5
,80,0.0
,82,1.5
,82,2.0
,63,0.25
,65,0.5
,68,0.75
,70,1.0
,72,1.25
,77,1.5
,75,1.75
,72,2.0
,73,2.25
,77,2.5
,80,2.75
,84,3.0
,82,3.75
,82,0.0
,80,1.5
,80,2.0
,70,0.0
,70,1.5
,72,2.0
,70,3.0
,68,3.5
,65,0.0
,77,0.75
,75,1.0
,77,1.5
,80,2.0
,77,0.0
,68,0.25
,73,0.5
,75,0.75
,77,1.0
,68,1.25
,80,1.5
,68,1.75
,82,2.0
,70,2.25
,74,2.5
,77,2.75
,84,3.0
,77,3.25
,86,3.5
,77,3.75
,87,0.0
,75,1.5
,75,2.0
,77,2.5
,79,2.75
,80,3.0
,80,3.125
,82,3.25
,82,3.375
,84,3.5
,84,3.625
,85,3.75
,85,3.875
,87,0.0
,87,1.5
,89,2.0
,87,3.0
,84,3.5
,84,0.0
,82,1.0
,80,1.5
,77,2.0
,75,0.0
,63,0.5
,72,1.5
,72,2.0
,77,2.75
,75,3.0
,77,3.75
,80,0.0
,68,3.5
,80,0.0
,79,1.0
,80,1.5
,82,2.5
,84,3.5
,87,0.0
,87,0.0
