,pitch,start
,64,0.0
,69,2.0
,73,0.0
,69,3.0
,71,0.0
,71,1.0
,69,2.0
,68,2.5
,66,3.0
,68,3.5
,69,0.0
,64,3.0
,64,0.0
,69,1.0
,73,3.0
,76,0.0
,76,2.0
,77,2.5
,78,3.0
,73,3.5
,76,0.0
,74,0.5
,76,1.0
,71,1.5
,74,2.0
,73,2.5
,76,3.0
,74,3.5
,73,0.0
,71,2.0
,57,0.0
,61,2.0
,64,0.0
,64,0.0
,69,1.0
,64,2.0
,61,3.0
,57,0.0
,57,2.0
,61,3.0
,64,0.0
,64,2.0
,61,2.5
,66,3.0
,61,3.5
,62,0.0
,59,0.5
,64,1.0
,59,1.5
,64,2.0
,57,2.5
,61,3.0
,59,3.5
,57,0.0
,56,2.0
,71,3.0
,71,0.0
,71,2.0
,71,3.0
,71,0.0
,71,2.0
,73,2.5
,75,3.0
,76,3.5
,76,3.875
,75,0.0
,75,1.0
,76,1.875
,75,2.0
,73,2.5
,75,3.0
,78,3.5
,76,0.0
,76,3.0
,76,0.0
,76,2.0
,76,3.0
,76,0.0
,81,1.0
,78,3.0
,74,3.5
,73,0.0
,73,1.0
,76,1.25
,74,2.0
,76,2.25
,71,3.0
,76,3.25
,76,0.0
,69,1.0
,69,0.0
,68,0.0
,69,0.0
,59,1.0
,57,3.0
,56,0.0
,68,0.5
,71,1.0
,69,1.5
,68,2.0
,69,2.5
,71,3.0
,73,3.5
,74,0.0
,73,0.5
,74,1.0
,73,1.5
,74,2.0
,73,2.5
,74,3.0
,71,3.5
,73,0.0
,69,0.5
,64,1.0
,61,1.5
,64,2.0
,61,2.5
,66,3.0
,69,3.5
,69,0.0
,64,0.5
,64,1.0
,61,1.5
,64,2.0
,62,2.5
,64,3.0
,59,3.5
,64,0.0
,76,0.0
,81,0.332031
,80,0.664062
,81,1.0
,76,1.332031
,74,1.664062
,73,2.0
,76,2.332031
,75,2.664062
,76,3.0
,73,3.332031
,71,3.664062
,69,0.0
,64,0.0
,76,0.332031
,78,0.664062
,80,1.0
,80,1.332031
,81,1.664062
,83,2.0
,83,2.332031
,85,2.664062
,86,3.0
,83,3.332031
,80,3.664062
,81,0.0
,76,0.0
,81,0.332031
,80,0.664062
,81,1.0
,76,1.332031
,74,1.664062
,73,2.0
,76,2.332031
,75,2.664062
,76,3.0
,73,3.332031
,71,3.664062
,69,0.0
,64,0.0
,76,0.332031
,78,0.664062
,80,1.0
,80,1.332031
,81,1.664062
,83,2.0
,83,2.332031
,81,2.664062
,80,3.0
,78,3.332031
,76,3.664062
,71,0.0
,71,0.0
,71,0.0
,63,1.0
,66,2.0
,69,3.0
,68,0.0
,64,0.332031
,66,0.664062
,68,1.0
,68,1.332031
,69,1.664062
,71,2.0
,71,2.332031
,73,2.664062
,74,3.0
,74,3.332031
,75,3.664062
,76,0.0
,76,0.0
,81,1.0
,81,3.0
,81,0.0
,76,1.0
,74,2.0
,71,3.0
,69,0.0
,81,0.332031
,80,0.664062
,81,1.0
,85,1.332031
,83,1.664062
,81,2.0
,80,2.332031
,78,2.664062
,76,3.0
,74,3.332031
,73,3.664062
,71,0.0
,71,0.0
,71,0.0
,63,1.0
,66,2.0
,69,3.0
,68,0.0
,64,0.332031
,66,0.664062
,68,1.0
,68,1.332031
,69,1.664062
,71,2.0
,71,2.332031
,73,2.664062
,74,3.0
,74,3.332031
,75,3.664062
,76,0.0
,76,0.0
,81,1.0
,81,3.0
,81,0.0
,76,1.0
,74,2.0
,71,3.0
,69,0.0
,64,0.0
,66,1.0
,68,1.5
,71,1.875
,69,2.0
,68,2.5
,69,3.0
,71,3.5
,73,0.0
,74,3.0
,73,3.5
,70,0.0
,71,0.5
,74,1.0
,71,1.5
,69,2.0
,68,2.5
,66,3.0
,68,3.5
,69,0.0
,68,0.5
,69,1.0
,64,1.5
,66,2.0
,68,2.5
,69,3.0
,71,3.5
,73,0.0
,71,0.5
,69,1.0
,68,1.5
,69,2.0
,71,2.5
,73,3.0
,74,3.5
,76,0.0
,75,0.5
,76,1.0
,75,1.5
,76,2.0
,85,2.5
,76,3.0
,78,3.5
,74,0.0
,83,0.5
,74,1.0
,76,1.5
,73,2.0
,81,2.5
,73,3.0
,74,3.5
,73,0.0
,74,0.5
,75,1.0
,76,1.5
,71,2.0
,64,2.5
,63,3.0
,64,3.5
,64,0.0
,66,1.0
,68,1.5
,71,1.875
,69,2.0
,68,2.5
,69,3.0
,71,3.5
,73,0.0
,74,3.0
,73,3.5
,70,0.0
,71,0.5
,74,1.0
,71,1.5
,69,2.0
,68,2.5
,66,3.0
,68,3.5
,69,0.0
,68,0.5
,69,1.0
,64,1.5
,66,2.0
,68,2.5
,69,3.0
,71,3.5
,73,0.0
,71,0.5
,69,1.0
,68,1.5
,69,2.0
,71,2.5
,73,3.0
,74,3.5
,76,0.0
,75,0.5
,76,1.0
,75,1.5
,76,2.0
,85,2.5
,76,3.0
,78,3.5
,74,0.0
,83,0.5
,74,1.0
,76,1.5
,73,2.0
,81,2.5
,73,3.0
,74,3.5
,73,0.0
,74,0.5
,75,1.0
,76,1.5
,71,2.0
,59,2.5
,58,3.0
,59,3.5
,59,0.0
,63,0.5
,66,1.0
,71,1.5
,75,2.0
,78,2.5
,83,3.0
,78,3.5
,81,0.0
,80,0.5
,78,1.0
,76,1.5
,75,2.0
,76,2.5
,71,3.0
,68,3.5
,71,0.0
,69,0.5
,68,1.0
,66,1.5
,64,2.0
,63,2.5
,61,3.0
,63,3.5
,64,0.0
,66,0.5
,68,1.0
,69,1.5
,71,2.0
,73,2.5
,74,3.0
,75,3.5
,76,0.0
,78,0.5
,80,1.0
,81,1.5
,83,2.0
,85,2.5
,86,3.0
,88,3.5
,86,0.0
,85,0.5
,83,1.0
,81,1.5
,80,2.0
,81,2.5
,78,3.0
,74,3.5
,73,0.0
,74,0.5
,75,1.0
,76,1.5
,74,2.0
,76,2.5
,71,3.0
,76,3.5
,76,0.0
,73,0.5
,69,1.0
,64,1.5
,61,2.0
,57,2.5
,61,3.0
,59,3.5
,59,0.0
,63,0.5
,66,1.0
,71,1.5
,75,2.0
,78,2.5
,83,3.0
,78,3.5
,81,0.0
,80,0.5
,78,1.0
,76,1.5
,75,2.0
,76,2.5
,71,3.0
,68,3.5
,71,0.0
,69,0.5
,68,1.0
,66,1.5
,64,2.0
,63,2.5
,61,3.0
,63,3.5
,64,0.0
,66,0.5
,68,1.0
,69,1.5
,71,2.0
,73,2.5
