,pitch,start
,88,0.5
,87,0.75
,88,1.0
,83,1.5
,80,2.0
,83,2.5
,76,0.0
,78,0.25
,76,0.5
,75,0.75
,76,1.0
,71,1.5
,68,2.0
,71,2.5
,64,0.0
,71,0.25
,66,0.5
,71,0.75
,68,1.0
,71,1.25
,69,1.5
,71,1.75
,68,2.0
,71,2.25
,66,2.5
,71,2.75
,64,0.0
,76,0.25
,75,0.5
,73,0.75
,71,1.0
,76,1.25
,75,1.5
,73,1.75
,71,2.0
,69,2.25
,68,2.5
,66,2.75
,64,0.0
,71,0.25
,66,0.5
,71,0.75
,68,1.0
,71,1.25
,69,1.5
,71,1.75
,68,2.0
,71,2.25
,66,2.5
,71,2.75
,64,0.0
,76,0.25
,75,0.5
,73,0.75
,71,1.0
,76,1.25
,75,1.5
,73,1.75
,71,2.0
,69,2.25
,68,2.5
,66,2.75
,64,0.0
,66,0.25
,68,0.5
,69,0.75
,71,1.0
,73,1.25
,75,1.5
,76,1.75
,78,2.0
,80,2.25
,81,2.5
,78,2.75
,80,0.0
,83,0.25
,76,0.5
,78,0.75
,80,1.0
,81,1.25
,83,1.5
,85,1.75
,87,2.0
,88,2.25
,85,2.5
,87,2.75
,88,0.0
,83,0.25
,81,0.5
,83,0.75
,80,1.0
,83,1.25
,81,1.5
,83,1.75
,80,2.0
,83,2.25
,78,2.5
,83,2.75
,76,0.0
,88,0.25
,87,0.5
,85,0.75
,83,1.0
,76,1.25
,85,1.5
,76,1.75
,83,2.0
,76,2.25
,81,2.5
,76,2.75
,80,0.0
,83,0.25
,78,0.5
,83,0.75
,80,1.0
,83,1.25
,81,1.5
,83,1.75
,80,2.0
,83,2.25
,78,2.5
,83,2.75
,76,0.0
,88,0.25
,87,0.5
,85,0.75
,83,1.0
,76,1.25
,85,1.5
,76,1.75
,83,2.0
,76,2.25
,81,2.5
,76,2.75
,80,0.0
,76,0.25
,76,0.5
,76,0.75
,75,1.0
,76,1.25
,76,1.5
,76,1.75
,78,2.0
,76,2.25
,75,2.5
,76,2.75
,76,0.0
,76,0.25
,80,0.5
,76,0.75
,78,1.0
,76,1.25
,80,1.5
,76,1.75
,81,2.0
,76,2.25
,78,2.5
,76,2.75
,80,0.0
,76,0.25
,76,0.5
,76,0.75
,75,1.0
,76,1.25
,76,1.5
,76,1.75
,78,2.0
,76,2.25
,75,2.5
,76,2.75
,76,0.0
,76,0.25
,80,0.5
,76,0.75
,78,1.0
,76,1.25
,80,1.5
,76,1.75
,81,2.0
,76,2.25
,78,2.5
,76,2.75
,80,0.0
,76,0.25
,80,0.5
,76,0.75
,80,1.0
,76,1.25
,80,1.5
,76,1.75
,80,2.0
,76,2.25
,80,2.5
,76,2.75
,80,0.0
,76,0.25
,80,0.5
,75,0.75
,80,1.0
,76,1.25
,80,1.5
,75,1.75
,80,2.0
,76,2.25
,80,2.5
,75,2.75
,80,0.0
,76,0.25
,80,0.5
,75,0.75
,80,1.0
,76,1.25
,80,1.5
,75,1.75
,80,2.0
,76,2.25
,80,2.5
,75,2.75
,81,0.0
,76,0.25
,81,0.5
,73,0.75
,81,1.0
,76,1.25
,81,1.5
,73,1.75
,81,2.0
,76,2.25
,81,2.5
,73,2.75
,81,0.0
,76,0.25
,81,0.5
,71,0.75
,81,1.0
,76,1.25
,81,1.5
,71,1.75
,81,2.0
,76,2.25
,81,2.5
,71,2.75
,80,0.0
,76,0.25
,80,0.5
,71,0.75
,80,1.0
,76,1.25
,80,1.5
,71,1.75
,80,2.0
,76,2.25
,80,2.5
,71,2.75
,80,0.0
,76,0.25
,80,0.5
,69,0.75
,80,1.0
,76,1.25
,80,1.5
,69,1.75
,80,2.0
,76,2.25
,80,2.5
,69,2.75
,78,0.0
,76,0.25
,78,0.5
,69,0.75
,78,1.0
,76,1.25
,78,1.5
,69,1.75
,78,2.0
,76,2.25
,78,2.5
,69,2.75
,78,0.0
,76,0.25
,78,0.5
,68,0.75
,78,1.0
,76,1.25
,78,1.5
,68,1.75
,78,2.0
,76,2.25
,78,2.5
,68,2.75
,76,0.0
,76,0.25
,76,0.5
,68,0.75
,76,1.0
,76,1.25
,76,1.5
,68,1.75
,76,2.0
,76,2.25
,76,2.5
,68,2.75
,76,0.0
,76,0.25
,76,0.5
,66,0.75
,76,1.0
,76,1.25
