,pitch,start
,80,0.0
,71,1.0
,80,1.5
,78,0.0
,76,0.5
,75,1.0
,76,1.5
,81,0.0
,81,1.0
,81,0.0
,71,1.0
,80,0.0
,72,1.0
,80,1.5
,78,0.0
,76,0.5
,75,1.0
,76,1.5
,78,0.0
,78,1.0
,78,0.0
,78,1.5
,80,0.0
,71,1.0
,80,1.5
,78,0.0
,76,0.5
,75,1.0
,76,1.5
,85,0.0
,85,1.0
,85,0.0
,83,1.0
,81,1.5
,80,0.0
,78,1.0
,76,1.5
,76,1.875
,73,0.0
,75,1.0
,76,0.0
,76,0.0
,71,1.0
,80,0.0
,71,1.0
,80,1.5
,78,0.0
,76,0.5
,75,1.0
,76,1.5
,81,0.0
,81,1.0
,81,0.0
,71,1.0
,80,0.0
,72,1.0
,80,1.5
,78,0.0
,76,0.5
,75,1.0
,76,1.5
,78,0.0
,78,1.0
,78,0.0
,78,1.5
,80,0.0
,71,1.0
,80,1.5
,78,0.0
,76,0.5
,75,1.0
,76,1.5
,85,0.0
,85,1.0
,85,0.0
,83,1.0
,81,1.5
,80,0.0
,78,1.0
,76,1.5
,76,1.875
,73,0.0
,75,1.0
,76,0.0
,76,0.0
,76,1.875
,79,0.0
,78,1.0
,76,1.5
,72,0.0
,74,1.0
,76,1.5
,78,0.0
,76,1.0
,74,1.5
,71,0.0
,72,1.0
,74,1.5
,76,0.0
,78,1.0
,79,1.5
,81,0.0
,83,1.0
,84,1.5
,86,0.0
,90,1.0
,88,1.5
,86,0.0
,84,1.5
,83,0.0
,81,1.0
,79,1.5
,76,0.0
,78,1.0
,79,1.5
,79,1.875
,83,0.0
,81,0.5
,79,1.0
,78,1.5
,75,0.0
,76,1.0
,78,1.5
,79,0.0
,81,1.0
,83,1.5
,84,0.0
,91,1.0
,90,1.75
,88,0.0
,83,0.0
,100,0.0
,95,0.0
,88,0.0
,83,0.0
,85,0.0
,85,0.0
,83,1.0
,81,1.5
,80,0.0
,71,1.0
,80,1.5
,78,0.0
,76,0.5
,75,1.0
,76,1.5
,81,0.0
,81,1.0
,81,0.0
,71,1.0
,80,0.0
,72,1.0
,80,1.5
,78,0.0
,76,0.5
,75,1.0
,76,1.5
,78,0.0
,78,1.0
,78,0.0
,78,1.5
,80,0.0
,71,1.0
,80,1.5
,78,0.0
,76,0.5
,75,1.0
,76,1.5
,85,0.0
,85,1.0
,85,0.0
,87,1.0
,88,1.5
,93,0.0
,90,0.5
,88,1.5
,86,0.0
,84,0.5
,78,1.0
,85,1.75
,85,0.0
,83,0.5
,80,1.5
,78,0.0
,76,0.5
,71,1.0
,72,1.75
,81,0.0
,78,0.5
,76,1.5
,74,0.0
,72,0.5
,66,1.0
,73,1.75
,73,0.0
,71,1.0
,68,1.5
,66,0.0
,63,0.5
,59,1.0
,60,1.75
,61,0.0
,56,0.5
,57,1.0
,59,1.5
,61,0.0
,69,0.5
,68,1.0
,66,1.5
,64,0.0
,60,0.5
,61,1.0
,63,1.5
,64,0.0
,76,0.5
,75,1.0
,73,1.5
,71,0.0
,63,0.5
,66,1.0
,64,1.5
,63,0.0
,71,0.5
,71,1.0
,68,1.75
,68,0.0
,66,1.0
,61,0.0
,63,1.0
,64,0.0
,64,0.0
,68,1.0
,71,1.5
,72,0.0
,73,1.0
,73,0.0
,75,1.0
,76,0.0
,76,0.0
,80,1.0
,83,1.5
,84,0.0
,85,1.0
,85,0.0
,87,1.0
,88,0.0
,88,0.0
,88,0.0
,88,0.0
,88,0.0
,88,0.0
,88,0.0
,88,0.0
