,pitch,start
,79,0.0
,79,1.0
,78,2.5
,79,2.75
,78,3.0
,79,3.25
,78,3.5
,79,3.75
,76,0.0
,74,0.25
,74,1.0
,73,2.5
,74,2.75
,73,3.0
,74,3.25
,73,3.5
,74,3.75
,72,0.0
,71,0.5
,71,1.0
,72,2.5
,71,2.75
,72,2.875
,74,3.0
,76,3.5
,67,0.0
,66,0.5
,66,1.0
,81,0.0
,81,2.0
,79,2.25
,78,2.5
,79,2.75
,81,3.0
,83,3.25
,81,3.5
,83,3.75
,84,0.0
,81,0.75
,84,1.0
,84,2.0
,81,2.75
,84,3.0
,84,0.0
,83,0.5
,81,1.0
,83,1.5
,81,2.0
,67,2.5
,78,3.0
,76,3.5
,74,0.0
,76,1.5
,72,2.0
,74,3.5
,71,0.0
,72,1.5
,69,2.0
,76,3.5
,76,0.0
,67,0.5
,67,1.0
,71,3.0
,69,3.5
,67,0.0
,79,0.0
,83,2.0
,86,3.0
,86,0.0
,85,2.0
,86,2.25
,85,2.5
,86,2.75
,88,3.0
,86,3.25
,84,3.5
,83,3.75
,80,0.0
,81,1.0
,73,2.0
,74,2.25
,73,2.5
,74,2.75
,76,3.0
,74,3.25
,72,3.5
,71,3.75
,68,0.0
,69,1.0
,74,2.75
,78,3.0
,83,3.5
,81,0.0
,79,0.5
,79,1.0
,81,2.5
,83,2.75
,81,3.0
,79,3.25
,78,3.5
,76,3.75
,74,0.0
,73,0.5
,73,2.0
,74,2.5
,75,0.0
,76,0.5
,76,2.0
,79,2.25
,78,2.5
,81,2.75
,79,3.0
,67,3.5
,66,0.0
,81,0.5
,79,1.0
,78,1.5
,76,2.0
,74,2.5
,73,3.0
,72,3.5
,71,0.0
,73,2.0
,75,2.25
,76,2.5
,78,2.75
,79,3.0
,81,3.25
,83,0.0
,85,0.25
,86,0.5
,85,0.75
,83,1.0
,81,1.25
,79,1.5
,78,1.75
,76,2.0
,75,2.25
,76,2.5
,78,2.75
,79,3.0
,81,3.25
,83,3.5
,82,3.75
,83,0.0
,85,0.25
,86,0.5
,85,0.75
,83,1.0
,81,1.25
,79,1.5
,78,1.75
,76,2.0
,75,2.25
,76,2.5
,78,2.75
,79,3.0
,81,3.25
,83,3.5
,82,3.75
,85,0.0
,83,0.5
,81,1.0
,79,1.5
,78,2.0
,76,2.5
,74,3.5
,73,0.0
,81,1.5
,81,1.75
,81,2.0
,80,2.5
,81,3.0
,80,3.5
,81,0.0
,86,1.5
,85,2.0
,86,2.5
,78,3.0
,83,3.5
,81,0.0
,79,0.5
,79,1.5
,79,2.0
,79,2.25
,78,2.75
,79,3.25
,78,3.75
,79,0.0
,87,1.5
,88,2.0
,80,2.5
,81,3.0
,76,3.5
,79,0.0
,78,0.5
,81,1.5
,78,1.75
,74,2.0
,69,2.25
,66,2.5
,62,2.75
,67,3.0
,64,3.25
,61,3.5
,57,3.75
,66,0.0
,62,0.25
,67,0.5
,64,0.75
,69,1.0
,81,1.5
,78,1.75
,74,2.0
,69,2.25
,66,2.5
,62,2.75
,67,3.0
,64,3.25
,61,3.5
,57,3.75
,66,0.0
,62,0.25
,67,0.5
,64,0.75
,69,1.0
,69,1.5
,66,1.75
,71,2.0
,67,2.25
,73,2.5
,69,2.75
,74,3.0
,69,3.25
,76,3.5
,73,3.75
,78,0.0
