pitch,start,duration,beat_type,string,position,finger
55,0,0.5,4,1,1,0
64,0,0.5,4,2,1,1
60,1,0.5,4,1,1,3
64,1,0.5,4,2,1,1
64,2,0.5,4,2,1,1
72,2,0.5,4,3,1,2
67,3,0.5,4,2,1,3
72,3,0.5,4,3,1,2
67,4,0.5,4,2,1,3
76,4,0.5,4,3,1,4
76,5,0.5,4,3,1,4
79,5,0.5,4,4,1,2
76,6,0.5,4,3,1,4
79,6,0.5,4,4,1,2
67,7,0.5,4,2,1,3
76,7,0.5,4,3,1,4
67,8,0.5,4,2,1,3
72,8,0.5,4,3,1,2
64,9,0.5,4,2,1,1
72,9,0.5,4,3,1,2
60,10,0.5,4,1,1,3
64,10,0.5,4,2,1,1
55,11,0.5,4,1,1,0
64,11,0.5,4,2,1,1
57,12,0.5,4,1,1,1
64,12,0.5,4,2,1,1
60,13,0.5,4,1,1,3
64,13,0.5,4,2,1,1
60,14,0.5,4,1,1,3
69,14,0.5,4,2,1,4
69,15,0.5,4,2,1,4
72,15,0.5,4,3,1,2
72,16,0.5,4,3,1,2
76,16,0.5,4,4,1,0
72,17,0.5,4,3,1,2
81,17,0.5,4,4,1,3
57,18,0.5,4,1,1,1
65,18,0.5,4,2,1,2
60,19,0.5,4,1,1,3
65,19,0.5,4,2,1,2
60,20,0.5,4,1,1,3
69,20,0.5,4,2,1,4
69,21,0.5,4,2,1,4
72,21,0.5,4,3,1,2
72,22,0.5,4,3,1,2
77,22,0.5,4,4,1,1
72,23,0.5,4,3,1,2
81,23,0.5,4,4,1,3
72,24,0.5,4,3,1,2
81,24,0.5,4,4,1,3
72,25,0.5,4,3,1,2
77,25,0.5,4,4,1,1
69,26,0.5,4,2,1,4
72,26,0.5,4,3,1,2
60,27,0.5,4,1,1,3
69,27,0.5,4,2,1,4
60,28,0.5,4,1,1,3
65,28,0.5,4,2,1,2
57,29,0.5,4,1,1,1
65,29,0.5,4,2,1,2
57,30,0.5,4,1,1,1
65,30,0.5,4,2,1,2
62,31,0.5,4,1,1,4
65,31,0.5,4,2,1,2
65,32,0.5,4,2,1,2
69,32,0.5,4,3,1,0
65,33,0.5,4,2,1,2
74,33,0.5,4,3,1,3
69,34,0.5,4,2,1,4
74,34,0.5,4,3,1,3
74,35,0.5,4,3,1,3
77,35,0.5,4,4,1,1
74,36,0.5,4,3,1,3
77,36,0.5,4,4,1,1
69,37,0.5,4,2,1,4
74,37,0.5,4,3,1,3
65,38,0.5,4,2,1,2
74,38,0.5,4,3,1,3
65,39,0.5,4,2,1,2
69,39,0.5,4,3,1,0
62,40,0.5,4,1,1,4
65,40,0.5,4,2,1,2
57,41,0.5,4,1,1,1
65,41,0.5,4,2,1,2
