pitch,start,duration,beat_type,string,position,finger
76,0,0.5,4,3,1,4
69,1,0.5,4,2,1,4
64,2,0.5,4,2,1,1
64,3,0.5,4,2,1,1
69,4,0.5,4,2,1,4
72,5,0.5,4,3,1,2
76,6,0.5,4,3,1,4
77,7,0.5,4,4,1,1
72,8,0.5,4,3,1,2
65,9,0.5,4,2,1,2
65,10,0.5,4,2,1,2
69,11,0.5,4,2,1,4
72,12,0.5,4,3,1,2
77,13,0.5,4,4,1,1
81,14,0.5,4,4,1,3
79,15,0.5,4,4,1,2
77,16,0.5,4,4,1,1
76,17,0.5,4,3,1,4
72,18,0.5,4,3,1,2
74,19,0.5,4,3,1,3
77,20,0.5,4,4,1,1
69,21,0.5,4,2,1,4
65,22,0.5,4,2,1,2
65,23,0.5,4,2,1,2
69,24,0.5,4,2,1,4
74,25,0.5,4,3,1,3
77,26,0.5,4,4,1,1
76,27,0.5,4,3,1,4
68,28,0.5,4,2,1,3
62,29,0.5,4,1,1,4
62,30,0.5,4,1,1,4
64,31,0.5,4,2,1,1
68,32,0.5,4,2,1,3
74,33,0.5,4,3,1,3
72,34,0.5,4,3,1,2
71,35,0.5,4,3,1,1
69,36,0.5,4,2,1,4
68,37,0.5,4,2,1,3
69,38,0.5,4,2,1,4
71,39,0.5,4,3,1,1
71,40,0.5,4,3,1,1
72,41,0.5,4,3,1,2
74,42,0.5,4,3,1,3
75,43,0.5,4,3,1,3
76,44,0.5,4,3,1,4
76,45,0.5,4,3,1,4
69,46,0.5,4,2,1,4
64,47,0.5,4,2,1,1
64,48,0.5,4,2,1,1
69,49,0.5,4,2,1,4
73,50,0.5,4,3,1,2
76,51,0.5,4,3,1,4
77,52,0.5,4,4,1,1
69,53,0.5,4,2,1,4
62,54,0.5,4,1,1,4
62,55,0.5,4,1,1,4
65,56,0.5,4,2,1,2
69,57,0.5,4,2,1,4
74,58,0.5,4,3,1,3
77,59,0.5,4,4,1,1
81,60,0.5,4,4,1,3
79,61,0.5,4,4,1,2
77,62,0.5,4,4,1,1
76,63,0.5,4,3,1,4
72,64,0.5,4,3,1,2
74,65,0.5,4,3,1,3
77,66,0.5,4,4,1,1
69,67,0.5,4,2,1,4
65,68,0.5,4,2,1,2
65,69,0.5,4,2,1,2
69,70,0.5,4,2,1,4
74,71,0.5,4,3,1,3
77,72,0.5,4,4,1,1
76,73,0.5,4,3,1,4
68,74,0.5,4,2,1,3
62,75,0.5,4,1,1,4
62,76,0.5,4,1,1,4
64,77,0.5,4,2,1,1
69,78,0.5,4,2,1,4
74,79,0.5,4,3,1,3
72,80,0.5,4,3,1,2
72,81,0.5,4,3,1,2
71,82,0.5,4,3,1,1
69,83,0.5,4,2,1,4
70,84,0.5,4,3,1,1
68,85,0.5,4,2,1,3
69,86,0.5,4,2,1,4
69,87,0.5,4,2,1,4
72,88,0.5,4,3,1,2
76,89,0.5,4,3,1,4
76,90,0.5,4,3,1,4
68,91,0.5,4,2,1,3
71,92,0.5,4,3,1,1
76,93,0.5,4,3,1,4
76,94,0.5,4,3,1,4
71,95,0.5,4,3,1,1
