pitch,start,duration,beat_type,string,position,finger
62,0,0.5,4,1,1,4
62,1,0.5,4,1,1,4
64,2,0.5,4,2,1,1
65,3,0.5,4,2,1,2
67,4,0.5,4,2,1,3
69,5,0.5,4,2,1,4
70,6,0.5,4,3,1,1
61,7,0.5,4,1,1,3
70,8,0.5,4,3,1,1
69,9,0.5,4,2,1,4
67,10,0.5,4,2,1,3
76,11,0.5,4,3,1,4
67,12,0.5,4,2,1,3
65,13,0.5,4,2,1,2
61,14,0.5,4,1,1,3
62,15,0.5,4,1,1,4
57,16,0.5,4,1,1,1
58,17,0.5,4,1,1,2
62,18,0.5,4,1,1,4
65,19,0.5,4,2,1,2
67,20,0.5,4,2,1,3
61,21,0.5,4,1,1,3
57,22,0.5,4,1,1,1
61,23,0.5,4,1,1,3
64,24,0.5,4,2,1,1
69,25,0.5,4,2,1,4
67,26,0.5,4,2,1,3
65,27,0.5,4,2,1,2
67,28,0.5,4,2,1,3
65,29,0.5,4,2,1,2
64,30,0.5,4,2,1,1
65,31,0.5,4,2,1,2
62,32,0.5,4,1,1,4
65,33,0.5,4,2,1,2
69,34,0.5,4,2,1,4
70,35,0.5,4,3,1,1
69,36,0.5,4,2,1,4
67,37,0.5,4,2,1,3
69,38,0.5,4,2,1,4
67,39,0.5,4,2,1,3
65,40,0.5,4,2,1,2
64,41,0.5,4,2,1,1
67,42,0.5,4,2,1,3
70,43,0.5,4,3,1,1
74,44,0.5,4,3,1,3
72,45,0.5,4,3,1,2
70,46,0.5,4,3,1,1
69,47,0.5,4,2,1,4
70,48,0.5,4,3,1,1
69,49,0.5,4,2,1,4
67,50,0.5,4,2,1,3
69,51,0.5,4,2,1,4
65,52,0.5,4,2,1,2
69,53,0.5,4,2,1,4
72,54,0.5,4,3,1,2
77,55,0.5,4,4,1,1
79,56,0.5,4,4,1,2
81,57,0.5,4,4,1,3
72,58,0.5,4,3,1,2
74,59,0.5,4,3,1,3
69,60,0.5,4,2,1,4
70,61,0.5,4,3,1,1
74,62,0.5,4,3,1,3
79,63,0.5,4,4,1,2
81,64,0.5,4,4,1,3
82,65,0.5,4,4,1,3
74,66,0.5,4,3,1,3
76,67,0.5,4,3,1,4
70,68,0.5,4,3,1,1
72,69,0.5,4,3,1,2
67,70,0.5,4,2,1,3
69,71,0.5,4,2,1,4
70,72,0.5,4,3,1,1
72,73,0.5,4,3,1,2
64,74,0.5,4,2,1,1
65,75,0.5,4,2,1,2
57,76,0.5,4,1,1,1
58,77,0.5,4,1,1,2
67,78,0.5,4,2,1,3
60,79,0.5,4,1,1,3
64,80,0.5,4,2,1,1
67,81,0.5,4,2,1,3
70,82,0.5,4,3,1,1
69,83,0.5,4,2,1,4
67,84,0.5,4,2,1,3
65,85,0.5,4,2,1,2
69,86,0.5,4,2,1,4
74,87,0.5,4,3,1,3
65,88,0.5,4,2,1,2
