pitch,start,duration,beat_type,string,position,finger
66,0,0.5,4,2,1,2
74,0,0.5,4,3,1,3
67,1,0.5,4,2,1,3
76,1,0.5,4,3,1,4
69,2,0.5,4,3,1,0
78,2,0.5,4,4,1,1
71,3,0.5,4,3,1,1
79,3,0.5,4,4,1,2
73,4,0.5,4,3,1,2
81,4,0.5,4,4,1,3
74,5,0.5,4,3,1,3
83,5,0.5,4,4,1,4
76,6,0.5,4,3,3,2
85,6,0.5,4,4,3,3
78,7,0.5,4,3,3,3
86,7,0.5,4,4,3,4
78,8,0.5,4,3,3,3
86,8,0.5,4,4,3,4
76,9,0.5,4,3,3,2
85,9,0.5,4,4,3,3
74,10,0.5,4,3,3,1
83,10,0.5,4,4,3,2
73,11,0.5,4,3,1,2
81,11,0.5,4,4,1,3
71,12,0.5,4,3,1,1
79,12,0.5,4,4,1,2
69,13,0.5,4,3,1,0
78,13,0.5,4,4,1,1
67,14,0.5,4,2,1,3
76,14,0.5,4,3,1,4
66,15,0.5,4,2,1,2
74,15,0.5,4,3,1,3
65,16,0.5,4,2,1,2
74,16,0.5,4,3,1,3
67,17,0.5,4,2,1,3
76,17,0.5,4,3,1,4
69,18,0.5,4,3,1,0
77,18,0.5,4,4,1,1
70,19,0.5,4,3,1,1
79,19,0.5,4,4,1,2
73,20,0.5,4,3,1,2
81,20,0.5,4,4,1,3
74,21,0.5,4,3,1,3
82,21,0.5,4,4,1,4
76,22,0.5,4,3,3,2
85,22,0.5,4,4,3,3
77,23,0.5,4,3,3,3
86,23,0.5,4,4,3,4
77,24,0.5,4,3,3,3
86,24,0.5,4,4,3,4
76,25,0.5,4,3,3,2
85,25,0.5,4,4,3,3
74,26,0.5,4,3,3,1
82,26,0.5,4,4,3,2
73,27,0.5,4,3,1,2
81,27,0.5,4,4,1,3
70,28,0.5,4,3,1,1
79,28,0.5,4,4,1,2
69,29,0.5,4,3,1,0
77,29,0.5,4,4,1,1
67,30,0.5,4,2,1,3
76,30,0.5,4,3,1,4
65,31,0.5,4,2,1,2
74,31,0.5,4,3,1,3
