pitch_w,pitch,start,小節
G2,55,0,1
E3,64,0,1
C3,60,1,1
E3,64,1,1
E3,64,2,1
C4,72,2,1
G3,67,0,2
C4,72,0,2
G3,67,1,2
E4,76,1,2
E4,76,2,2
G4,79,2,2
E4,76,0,3
G4,79,0,3
G3,67,1,3
E4,76,1,3
G3,67,2,3
C4,72,2,3
E3,64,0,4
C4,72,0,4
C3,60,1,4
E3,64,1,4
G2,55,2,4
E3,64,2,4
A2,57,0,5
E3,64,0,5
C3,60,1,5
E3,64,1,5
C3,60,2,5
A3,69,2,5
A3,69,0,6
C4,72,0,6
C4,72,1,6
E4,76,1,6
C4,72,2,6
A4,81,2,6
A2,57,0,7
F3,65,0,7
C3,60,1,7
F3,65,1,7
C3,60,2,7
A3,69,2,7
A3,69,0,8
C4,72,0,8
C4,72,1,8
F4,77,1,8
C4,72,2,8
A4,81,2,8
C4,72,0,9
A4,81,0,9
C4,72,1,9
F4,77,1,9
A3,69,2,9
C4,72,2,9
C3,60,0,10
A3,69,0,10
C3,60,1,10
F3,65,1,10
A2,57,2,10
F3,65,2,10
A2,57,0,11
F3,65,0,11
D3,62,1,11
F3,65,1,11
F3,65,2,11
A3,69,2,11
F3,65,0,12
D4,74,0,12
A3,69,1,12
D4,74,1,12
D4,74,2,12
F4,77,2,12
D4,74,0,13
F4,77,0,13
A3,69,1,13
D4,74,1,13
F3,65,2,13
D4,74,2,13
F3,65,0,14
A3,69,0,14
D3,62,1,14
F3,65,1,14
A2,57,2,14
F3,65,2,14
