pitch_w,pitch,start,小節
A2^,58,0,1
D3,62,0,1
C3^,60,0.5,1
D3^,63,0.5,1
D3,62,1,1
F3,65,1,1
D3^,63,1.5,1
G3,67,1.5,1
F3,65,2,1
A3,69,2,1
G3,67,2.5,1
A3^,70,2.5,1
A3,69,3,1
C4,72,3,1
A3^,70,3.5,1
D4,74,3.5,1
C4,72,0,2
D4^,75,0,2
D4,74,0.5,2
F4,77,0.5,2
D4^,75,1,2
G4,79,1,2
F4,77,1.5,2
A4,81,1.5,2
G4,79,2,2
A3^,70,2,2
A4,81,2.5,2
C5,84,2.5,2
A4^,82,3,2
D5,86,3,2
A4^,82,0,3
D5,86,0,3
A4,81,0.5,3
C5,84,0.5,3
G4,79,1,3
A4^,82,1,3
F4,77,1.5,3
A4,81,1.5,3
D4^,75,2,3
G4,79,2,3
D4,74,2.5,3
F4,77,2.5,3
C4,72,3,3
D4^,75,3,3
A3^,70,3.5,3
D4,74,3.5,3
A3,69,0,4
C4,72,0,4
G3,67,0.5,4
A3^,70,0.5,4
F3,65,1,4
A3,69,1,4
D3^,63,1.5,4
G3,67,1.5,4
D3,62,2,4
F3,65,2,4
C3^,60,2.5,4
D3^,63,2.5,4
A2^,58,3,4
D3,62,3,4
D3,62,0,5
A3,69,0,5
D3^,63,0.5,5
C4,72,0.5,5
F3,65,1,5
D4,74,1,5
G3,67,1.5,5
D4^,75,1.5,5
A3,69,2,5
F4,77,2,5
A3^,70,2.5,5
G4,79,2.5,5
C4,72,3,5
A4,81,3,5
D4,74,3.5,5
A4^,82,3.5,5
D4^,75,0,6
C5,84,0,6
F4,77,0.5,6
D5,86,0.5,6
G4,79,1,6
D5^,87,1,6
A4,81,1.5,6
F5,89,1.5,6
A4^,82,2,6
D5^,87,2,6
C5,84,2.5,6
F5,89,2.5,6
D5,86,3,6
G5,91,3,6
D5,86,0,7
G5,91,0,7
C5,84,0.5,7
F5,89,0.5,7
A4^,82,1,7
D5^,87,1,7
A4,81,1.5,7
F5,89,1.5,7
G4,79,2,7
D5^,87,2,7
F4,77,2.5,7
D5,86,2.5,7
D4^,75,3,7
C5,84,3,7
D4,74,3.5,7
A4^,82,3.5,7
C4,72,0,8
A4,81,0,8
A3^,70,0.5,8
G4,79,0.5,8
A3,69,1,8
F4,77,1,8
G3,67,1.5,8
D4^,75,1.5,8
F3,65,2,8
D4,74,2,8
D3^,63,2.5,8
C4,72,2.5,8
D3,62,3,8
H3,71,3,8
A2^,58,0,9
A3^,70,0,9
C3^,60,0.5,9
C4,72,0.5,9
D3,62,1,9
D4,74,1,9
D3^,63,1.5,9
D4^,75,1.5,9
F3,65,2,9
F4,77,2,9
G3,67,2.5,9
G4,79,2.5,9
A3,69,3,9
A4,81,3,9
A3^,70,3.5,9
A4^,82,3.5,9
C4,72,0,10
C5,84,0,10
D4,74,0.5,10
D5,86,0.5,10
D4^,75,1,10
D5^,87,1,10
F4,77,1.5,10
F5,89,1.5,10
G4,79,2,10
G5,91,2,10
A4,81,2.5,10
