,pitch,start
,76,0.0
,81,2.0
,85,0.0
,76,0.0
,81,2.0
,85,3.0
,88,0.0
,76,0.0
,81,2.0
,80,0.0
,76,0.0
,86,2.0
,85,0.0
,72,1.0
,71,3.0
,69,3.5
,68,0.0
,69,0.5
,72,1.0
,69,1.5
,76,2.0
,72,2.5
,77,3.0
,77,0.0
,74,1.0
,71,2.0
,76,3.0
,76,0.0
,74,1.0
,72,2.0
,71,3.0
,74,0.0
,72,0.5
,71,1.0
,69,1.5
,68,2.0
,71,2.5
,76,3.0
,74,3.5
,74,0.0
,72,0.5
,71,1.0
,69,1.5
,68,2.0
,69,2.5
,81,3.0
,81,0.0
,80,1.0
,81,2.0
,84,3.0
,78,3.5
,81,0.0
,74,0.5
,76,1.0
,78,1.5
,79,2.0
,80,3.0
,81,0.0
,57,2.0
,62,0.0
,65,1.0
,59,3.0
,60,0.0
,59,0.5
,60,1.0
,62,1.5
,64,2.0
,65,2.5
,62,3.0
,64,3.5
,60,0.0
,57,3.0
,57,0.0
,60,1.0
,60,3.0
,65,3.5
,65,0.0
,59,1.0
,64,1.5
,64,2.0
,57,3.0
,62,3.5
,62,0.0
,66,0.5
,67,1.0
,69,1.5
,62,2.0
,79,3.0
,69,0.0
,79,1.0
,78,2.0
,69,3.0
,67,0.0
,78,1.0
,76,2.0
,67,3.0
,66,0.0
,72,1.0
,71,2.0
,69,3.0
,69,0.0
,66,1.0
,67,2.0
,68,3.0
,71,0.0
,74,1.0
,77,2.0
,76,3.0
,74,3.5
,74,0.0
,72,0.5
,71,1.0
,72,1.5
,71,2.0
,72,2.5
,74,3.0
,70,3.5
,76,0.0
,69,1.0
,77,2.0
,68,3.0
,68,0.0
,69,0.5
,64,1.0
,60,1.5
,57,2.0
,61,1.0
,63,2.0
,66,3.0
,64,0.0
,69,1.0
,67,2.0
,59,3.0
,57,0.0
,69,1.0
,66,2.0
,72,3.0
,72,0.0
,69,0.5
,72,1.0
,71,1.5
,71,2.0
,59,2.5
,62,3.0
,60,3.5
,60,0.0
,59,0.5
,57,1.0
,56,1.5
,56,2.0
,68,2.5
,69,3.0
,71,3.5
,72,0.0
,69,1.0
,69,3.0
,69,1.0
,68,3.0
,69,0.0
,77,1.0
,74,3.0
,70,3.5
,65,0.0
,74,1.0
,77,1.25
,75,2.0
,77,2.25
,72,3.0
,77,3.25
,77,0.0
,70,0.25
,82,1.0
,86,1.25
,84,2.0
,86,2.25
,81,3.0
,86,3.25
,86,0.0
,79,0.25
,82,1.0
,86,1.25
,84,2.0
,86,2.25
,81,3.0
,86,3.25
,86,0.0
,79,0.25
,70,1.0
,74,1.25
,72,2.0
,74,2.25
,69,3.0
,74,3.25
,70,3.875
,74,0.0
,79,2.0
,82,0.0
,81,0.0
,87,2.0
,91,0.0
,81,0.0
,86,2.0
,89,0.0
,76,0.0
,83,2.0
,86,0.0
,82,2.0
,86,2.25
,82,2.0
,86,2.25
,64,2.5
,64,0.0
,66,0.5
,68,1.0
,69,1.5
,71,2.5
,73,0.0
,73,1.5
,74,2.0
,73,2.5
,73,0.0
,71,0.125
,70,0.5
,71,1.0
,66,1.5
,68,2.5
,71,0.0
,69,1.5
,64,2.5
,64,0.0
,69,0.5
,71,1.0
,73,1.5
,74,2.5
,76,0.0
,76,1.5
,78,2.0
,73,2.5
,74,0.0
,76,0.5
,71,1.0
,73,1.5
,76,2.0
,74,2.5
,73,0.0
,71,1.5
,66,0.0
,63,0.5
,59,1.0
,66,1.5
,63,2.0
,59,2.5
,68,0.0
,64,0.5
,59,1.0
,68,1.5
,64,2.0
,59,2.5
,69,0.0
,66,0.5
,59,1.0
,69,1.5
,66,2.0
,59,2.5
,68,0.0
,71,0.0
,68,0.5
