,pitch,start
,74,0.0
,74,0.0
,79,0.5
,83,1.0
,81,0.0
,79,0.5
,79,1.0
,79,0.0
,76,0.0
,76,0.0
,79,0.5
,76,1.0
,73,0.0
,74,0.5
,74,1.0
,74,0.0
,74,0.0
,69,0.5
,74,0.0
,71,0.5
,74,0.0
,72,0.5
,72,1.0
,78,0.0
,76,1.0
,78,1.25
,79,0.0
,81,0.25
,83,0.5
,79,0.75
,74,1.0
,76,0.0
,78,0.25
,79,0.5
,76,0.75
,72,1.0
,71,0.0
,69,0.0
,71,0.5
,72,1.0
,73,0.0
,74,0.5
,74,0.0
,79,0.5
,83,1.0
,81,0.0
,79,0.5
,79,1.0
,79,0.0
,76,0.0
,76,0.0
,79,0.5
,76,1.0
,73,0.0
,74,0.5
,74,1.0
,74,0.0
,79,0.0
,76,0.5
,74,0.0
,73,0.5
,81,0.0
,78,0.5
,76,0.0
,74,0.5
,71,0.0
,83,0.5
,81,1.0
,79,0.0
,78,0.5
,76,1.0
,74,0.0
,73,1.0
,78,0.0
,81,0.25
,83,0.5
,81,0.75
,83,1.0
,81,1.25
,86,0.0
,81,0.25
,83,0.5
,81,0.75
,83,1.0
,81,1.25
,88,0.0
,81,0.25
,83,0.5
,81,0.75
,83,1.0
,81,1.25
,76,0.0
,81,0.25
,78,0.5
,81,0.75
,79,1.0
,81,1.25
,78,0.0
,81,0.25
,83,0.5
,81,0.75
,83,1.0
,81,1.25
,86,0.0
,81,0.25
,83,0.5
,81,0.75
,83,1.0
,81,1.25
,88,0.0
,81,0.25
,83,0.5
,81,0.75
,83,1.0
,81,1.25
,76,0.0
,81,0.25
,78,0.5
,81,0.75
,79,1.0
,81,1.25
,78,0.0
,81,0.25
,86,0.5
,78,0.75
,76,1.0
,85,1.25
,74,0.0
,83,0.25
,73,0.5
,81,0.75
,71,1.0
,79,1.25
,69,0.0
,78,0.25
,67,0.5
,76,0.75
,66,1.0
,74,1.25
,64,0.0
,73,0.25
,57,0.5
,67,0.75
,62,1.0
,66,1.25
,55,0.0
,71,0.25
,70,0.5
,71,0.75
,70,1.0
,71,1.25
,86,0.25
,85,0.5
,86,0.75
,85,1.0
,86,1.25
,69,0.0
,76,0.0
,74,1.0
,76,1.25
,78,0.0
,81,0.25
,86,0.5
,78,0.75
,76,1.0
,85,1.25
,74,0.0
,83,0.25
,73,0.5
,81,0.75
,71,1.0
,79,1.25
,69,0.0
,78,0.25
,67,0.5
,76,0.75
,66,1.0
,74,1.25
,64,0.0
,73,0.25
,57,0.5
,67,0.75
,62,1.0
,66,1.25
,55,0.0
,71,0.25
,70,0.5
,71,0.75
,70,1.0
,71,1.25
,86,0.25
,85,0.5
,86,0.75
,85,1.0
,86,1.25
,69,0.0
,76,0.0
,74,1.0
,76,1.25
,74,0.0
,76,0.5
,78,1.0
,79,0.0
,81,0.5
,83,1.0
,81,0.0
,81,0.0
,79,0.5
,76,1.0
,74,0.0
,76,0.5
,78,1.0
,79,0.0
,81,0.5
,83,1.0
,81,0.0
,81,0.0
,79,0.5
,76,1.0
,74,0.0
,78,0.5
,74,1.0
,81,0.0
,78,0.5
,74,1.0
,81,0.0
,81,0.5
,81,1.0
,81,0.0
,81,0.5
,81,1.0
,85,0.0
,86,0.0
,73,0.0
,74,0.0
,61,0.0
,62,0.0
,61,0.5
,62,1.0
,66,0.0
,61,0.5
,62,1.0
,69,0.0
,61,0.5
,62,1.0
,64,0.0
,66,0.5
,67,1.0
,68,0.0
,69,0.5
,70,1.0
,71,0.0
,72,0.5
,73,1.0
,62,0.0
,74,0.125
,74,0.25
,72,1.0
,69,1.25
,69,1.375
,67,0.0
,67,0.5
,67,1.0
,64,0.0
,76,0.125
,76,0.25
,72,1.0
,69,1.25
,67,1.375
,66,0.0
,66,0.5
,66,1.0
,67,0.0
,62,0.5
,71,1.0
,69,0.0
,62,0.5
,72,1.0
,71,0.0
,62,0.5
,74,1.0
,71,0.0
,69,1.0
,71,0.0
,71,0.0
,76,0.5
,79,1.0
,79,0.0
,78,0.5
,78,1.0
,78,0.0
,78,0.0
,78,0.0
,83,0.5
,81,1.0
,78,0.0
,79,0.5
,79,1.0
,79,0.0
,79,0.0
,78,0.75
,79,1.0
,79,0.0
,79,1.0
,79,0.0
,84,0.0
,79,0.0
,78,0.75
,76,1.0
,76,0.0
,76,1.0
,82,0.0
,83,0.0
,58,0.0
,59,0.0
,71,0.0
,83,0.25
,82,0.5
,83,0.75
,82,1.0
,83,1.25
,71,0.0
,81,0.25
,80,0.5
,81,0.75
,80,1.0
,81,1.25
,79,0.0
,83,0.25
,81,0.5
,79,0.75
,78,1.0
,76,1.25
,75,0.0
,72,0.25
,71,0.5
,69,0.75
,67,1.0
,66,1.25
,67,0.0
,71,0.25
,69,0.5
,67,0.75
,66,1.0
,64,1.25
,72,0.0
,71,0.25
,69,0.5
,67,0.75
,66,1.0
,64,1.25
,63,0.0
,64,0.25
,66,0.5
,67,0.75
,66,1.0
,67,1.25
,66,0.0
,71,0.0
,83,0.25
,82,0.5
,83,0.75
,82,1.0
,83,1.25
,71,0.0
,81,0.25
,80,0.5
,81,0.75
,80,1.0
,81,1.25
,79,0.0
,83,0.25
,81,0.5
,79,0.75
,78,1.0
,76,1.25
,75,0.0
,72,0.25
,71,0.5
,69,0.75
,67,1.0
,66,1.25
,67,0.0
,71,0.25
,69,0.5
,67,0.75
,66,1.0
,64,1.25
,72,0.0
,71,0.25
,69,0.5
,67,0.75
,66,1.0
,64,1.25
,63,0.0
,66,0.5
,67,1.0
,68,0.0
,69,0.5
,70,1.0
,71,0.0
,71,0.0
,76,0.5
,79,1.0
,79,0.0
,78,0.5
,78,1.0
,78,0.0
,78,0.0
,78,0.0
,83,0.5
,81,1.0
,78,0.0
,79,0.5
,79,1.0
,79,0.0
,77,0.0
,76,0.75
,77,1.0
,77,0.0
,77,1.0
,77,0.0
,84,0.0
,76,0.0
,76,0.0
,79,0.375
,78,0.0
,76,0.75
,75,1.0
,75,0.0
,76,0.0
,63,0.0
,64,0.0
,77,0.0
,76,0.75
,77,1.0
,77,0.0
,77,1.0
,77,0.0
,84,0.0
,77,0.0
,84,0.0
,76,0.0
,76,0.0
,79,0.375
,78,0.0
,76,0.75
,75,1.0
,76,0.0
,79,0.5
,78,1.0
,79,0.0
,77,0.5
,76,1.0
,77,0.0
,76,0.5
,75,1.0
,76,0.0
,74,0.5
,73,1.0
,74,0.0
,71,0.5
,72,1.0
,70,0.5
,71,1.0
,68,0.5
,69,1.0
,69,0.5
,70,1.0
,71,0.0
,71,0.0
,71,0.0
,71,0.0
,71,0.0
,71,0.0
,74,0.125
,74,0.25
,72,1.0
,69,1.25
,69,1.375
,67,0.0
,67,0.5
,67,1.0
,64,0.0
,76,0.125
,76,0.25
,72,1.0
,69,1.25
,67,1.375
,66,0.0
,66,0.5
,66,1.0
,67,0.0
,62,0.5
,71,1.0
,69,0.0
,62,0.5
,72,1.0
,71,0.0
,62,0.5
,74,1.0
,71,0.0
,69,1.0
,73,0.0
,74,0.25
,73,0.5
,74,0.75
,72,1.0
,69,1.25
,69,1.375
,67,0.0
,67,0.5
,67,1.0
,75,0.0
,76,0.25
,75,0.5
,76,0.75
,72,1.0
,69,1.25
,67,1.375
,66,0.0
,66,0.5
,66,1.0
,67,0.0
,71,0.5
,74,1.0
,76,0.0
,79,0.5
,72,1.0
,71,0.0
,72,0.5
,69,1.0
,67,0.0
,66,0.25
,67,0.5
,69,0.75
,71,1.0
,72,1.25
,74,0.0
