sound_num,height_g,height_d,height_a,height_e,position,fin_g,fin_d,fin_a,fin_e
0,11,12,-1,-1,7,1,1,-1,-1
0,11,12,-1,-1,7,1,2,-1,-1
0,11,12,-1,-1,6,2,2,-1,-1
0,11,12,-1,-1,6,2,3,-1,-1
0,11,12,-1,-1,6,2,4,-1,-1
0,11,12,-1,-1,6,3,2,-1,-1
0,11,12,-1,-1,6,3,3,-1,-1
0,11,12,-1,-1,6,3,4,-1,-1
0,11,12,-1,-1,5,2,3,-1,-1
0,11,12,-1,-1,5,2,4,-1,-1
0,11,12,-1,-1,5,3,3,-1,-1
0,11,12,-1,-1,5,3,4,-1,-1
0,11,12,-1,-1,5,4,3,-1,-1
0,11,12,-1,-1,5,4,4,-1,-1
0,-1,4,5,-1,3,-1,1,1,-1
0,-1,4,5,-1,3,-1,1,2,-1
0,-1,4,5,-1,2,-1,2,2,-1
0,-1,4,5,-1,2,-1,2,3,-1
0,-1,4,5,-1,2,-1,2,4,-1
0,-1,4,5,-1,2,-1,3,2,-1
0,-1,4,5,-1,2,-1,3,3,-1
0,-1,4,5,-1,2,-1,3,4,-1
0,-1,4,5,-1,1,-1,2,3,-1
0,-1,4,5,-1,1,-1,2,4,-1
0,-1,4,5,-1,1,-1,3,3,-1
0,-1,4,5,-1,1,-1,3,4,-1
0,-1,4,5,-1,1,-1,4,3,-1
0,-1,4,5,-1,1,-1,4,4,-1
1,12,14,-1,-1,7,1,2,-1,-1
1,12,14,-1,-1,7,1,3,-1,-1
1,12,14,-1,-1,7,1,4,-1,-1
1,12,14,-1,-1,7,2,2,-1,-1
1,12,14,-1,-1,7,2,3,-1,-1
1,12,14,-1,-1,7,2,4,-1,-1
1,12,14,-1,-1,6,2,3,-1,-1
1,12,14,-1,-1,6,2,4,-1,-1
1,12,14,-1,-1,6,3,3,-1,-1
1,12,14,-1,-1,6,3,4,-1,-1
1,12,14,-1,-1,6,4,3,-1,-1
1,12,14,-1,-1,6,4,4,-1,-1
1,12,14,-1,-1,5,3,4,-1,-1
1,12,14,-1,-1,5,4,4,-1,-1
1,-1,5,7,-1,3,-1,1,2,-1
1,-1,5,7,-1,3,-1,1,3,-1
1,-1,5,7,-1,3,-1,1,4,-1
1,-1,5,7,-1,3,-1,2,2,-1
1,-1,5,7,-1,3,-1,2,3,-1
1,-1,5,7,-1,3,-1,2,4,-1
1,-1,5,7,-1,2,-1,2,3,-1
1,-1,5,7,-1,2,-1,2,4,-1
1,-1,5,7,-1,2,-1,3,3,-1
1,-1,5,7,-1,2,-1,3,4,-1
1,-1,5,7,-1,2,-1,4,3,-1
1,-1,5,7,-1,2,-1,4,4,-1
1,-1,5,7,-1,1,-1,3,4,-1
1,-1,5,7,-1,1,-1,4,4,-1
2,14,16,-1,-1,8,1,2,-1,-1
2,14,16,-1,-1,8,1,3,-1,-1
2,14,16,-1,-1,8,1,4,-1,-1
2,14,16,-1,-1,8,2,2,-1,-1
2,14,16,-1,-1,8,2,3,-1,-1
2,14,16,-1,-1,8,2,4,-1,-1
2,14,16,-1,-1,7,2,3,-1,-1
2,14,16,-1,-1,7,2,4,-1,-1
2,14,16,-1,-1,7,3,3,-1,-1
2,14,16,-1,-1,7,3,4,-1,-1
2,14,16,-1,-1,7,4,3,-1,-1
2,14,16,-1,-1,7,4,4,-1,-1
2,-1,-1,0,2,0,-1,-1,0,2
2,-1,-1,0,2,0,-1,-1,0,3
2,-1,-1,0,2,0,-1,-1,0,4
2,-1,7,9,-1,4,-1,1,2,-1
2,-1,7,9,-1,4,-1,1,3,-1
2,-1,7,9,-1,4,-1,1,4,-1
2,-1,7,9,-1,4,-1,2,2,-1
2,-1,7,9,-1,4,-1,2,3,-1
2,-1,7,9,-1,4,-1,2,4,-1
2,-1,7,9,-1,3,-1,2,3,-1
2,-1,7,9,-1,3,-1,2,4,-1
2,-1,7,9,-1,3,-1,3,3,-1
2,-1,7,9,-1,3,-1,3,4,-1
2,-1,7,9,-1,3,-1,4,3,-1
2,-1,7,9,-1,3,-1,4,4,-1
3,16,17,-1,-1,9,1,2,-1,-1
3,16,17,-1,-1,9,1,3,-1,-1
3,16,17,-1,-1,9,1,4,-1,-1
3,16,17,-1,-1,9,2,2,-1,-1
3,16,17,-1,-1,9,2,3,-1,-1
3,16,17,-1,-1,9,2,4,-1,-1
3,16,17,-1,-1,8,2,3,-1,-1
3,16,17,-1,-1,8,2,4,-1,-1
3,16,17,-1,-1,8,3,3,-1,-1
3,16,17,-1,-1,8,3,4,-1,-1
3,16,17,-1,-1,8,4,3,-1,-1
3,16,17,-1,-1,8,4,4,-1,-1
3,16,17,-1,-1,7,3,4,-1,-1
3,16,17,-1,-1,7,4,4,-1,-1
3,-1,-1,2,3,1,-1,-1,1,2
3,-1,-1,2,3,1,-1,-1,1,3
3,-1,-1,2,3,1,-1,-1,2,2
3,-1,-1,2,3,1,-1,-1,2,3
3,-1,9,10,-1,5,-1,1,2,-1
3,-1,9,10,-1,5,-1,1,3,-1
3,-1,9,10,-1,5,-1,1,4,-1
3,-1,9,10,-1,5,-1,2,2,-1
3,-1,9,10,-1,5,-1,2,3,-1
3,-1,9,10,-1,5,-1,2,4,-1
3,-1,9,10,-1,4,-1,2,3,-1
3,-1,9,10,-1,4,-1,2,4,-1
3,-1,9,10,-1,4,-1,3,3,-1
3,-1,9,10,-1,4,-1,3,4,-1
3,-1,9,10,-1,4,-1,4,3,-1
3,-1,9,10,-1,4,-1,4,4,-1
3,-1,9,10,-1,3,-1,3,4,-1
3,-1,9,10,-1,3,-1,4,4,-1
4,18,19,-1,-1,11,1,1,-1,-1
4,18,19,-1,-1,11,1,2,-1,-1
4,18,19,-1,-1,10,2,2,-1,-1
4,18,19,-1,-1,10,2,3,-1,-1
4,18,19,-1,-1,10,2,4,-1,-1
4,18,19,-1,-1,10,3,2,-1,-1
4,18,19,-1,-1,10,3,3,-1,-1
4,18,19,-1,-1,10,3,4,-1,-1
4,18,19,-1,-1,9,2,3,-1,-1
4,18,19,-1,-1,9,2,4,-1,-1
4,18,19,-1,-1,9,3,3,-1,-1
4,18,19,-1,-1,9,3,4,-1,-1
4,18,19,-1,-1,9,4,3,-1,-1
4,18,19,-1,-1,9,4,4,-1,-1
4,-1,-1,4,5,3,-1,-1,1,1
4,-1,-1,4,5,3,-1,-1,1,2
4,-1,-1,4,5,2,-1,-1,2,2
4,-1,-1,4,5,2,-1,-1,2,3
4,-1,-1,4,5,2,-1,-1,2,4
4,-1,-1,4,5,2,-1,-1,3,2
