sound_num,height_g,height_d,height_a,height_e,position,fin_g,fin_d,fin_a,fin_e
0,9,10,7,-1,4,2,3,1,-1
0,9,10,7,-1,4,2,3,2,-1
0,9,10,7,-1,4,2,4,1,-1
0,9,10,7,-1,4,2,4,2,-1
0,9,10,7,-1,4,3,3,1,-1
0,9,10,7,-1,4,3,3,2,-1
0,9,10,7,-1,4,3,4,1,-1
0,9,10,7,-1,4,3,4,2,-1
0,9,10,7,-1,4,4,3,1,-1
0,9,10,7,-1,4,4,3,2,-1
0,9,10,7,-1,4,4,4,1,-1
0,9,10,7,-1,4,4,4,2,-1
0,9,10,7,-1,3,3,4,2,-1
0,9,10,7,-1,3,3,4,3,-1
0,9,10,7,-1,3,3,4,4,-1
0,9,10,7,-1,3,4,4,2,-1
0,9,10,7,-1,3,4,4,3,-1
0,9,10,7,-1,3,4,4,4,-1
0,-1,2,3,0,1,-1,1,2,0
0,-1,2,3,0,1,-1,1,3,0
0,-1,2,3,0,1,-1,2,2,0
0,-1,2,3,0,1,-1,2,3,0
1,11,10,7,-1,4,3,3,1,-1
1,11,10,7,-1,4,3,3,2,-1
1,11,10,7,-1,4,3,4,1,-1
1,11,10,7,-1,4,3,4,2,-1
1,11,10,7,-1,4,4,3,1,-1
1,11,10,7,-1,4,4,3,2,-1
1,11,10,7,-1,4,4,4,1,-1
1,11,10,7,-1,4,4,4,2,-1
1,11,10,7,-1,4,3,3,1,-1
1,11,10,7,-1,4,3,3,2,-1
1,11,10,7,-1,4,3,4,1,-1
1,11,10,7,-1,4,3,4,2,-1
1,11,10,7,-1,4,4,3,1,-1
1,11,10,7,-1,4,4,3,2,-1
1,11,10,7,-1,4,4,4,1,-1
1,11,10,7,-1,4,4,4,2,-1
1,-1,4,3,0,2,-1,2,1,0
1,-1,4,3,0,2,-1,2,2,0
1,-1,4,3,0,2,-1,3,1,0
1,-1,4,3,0,2,-1,3,2,0
1,-1,4,3,0,1,-1,2,2,0
1,-1,4,3,0,1,-1,2,3,0
1,-1,4,3,0,1,-1,3,2,0
1,-1,4,3,0,1,-1,3,3,0
1,-1,4,3,0,1,-1,4,2,0
1,-1,4,3,0,1,-1,4,3,0
2,-1,6,3,0,2,-1,3,1,0
2,-1,6,3,0,2,-1,3,2,0
2,-1,6,3,0,2,-1,4,1,0
2,-1,6,3,0,2,-1,4,2,0
2,-1,6,3,0,1,-1,3,2,0
2,-1,6,3,0,1,-1,3,3,0
2,-1,6,3,0,1,-1,4,2,0
2,-1,6,3,0,1,-1,4,3,0
3,-1,10,0,0,6,-1,1,0,0
3,-1,10,0,0,6,-1,2,0,0
3,-1,10,0,0,5,-1,2,0,0
3,-1,10,0,0,5,-1,3,0,0
3,-1,10,0,0,4,-1,3,0,0
3,-1,10,0,0,4,-1,4,0,0
3,-1,10,0,0,3,-1,4,0,0
3,-1,7,3,0,2,-1,3,1,0
3,-1,7,3,0,2,-1,3,2,0
3,-1,7,3,0,2,-1,4,1,0
3,-1,7,3,0,2,-1,4,2,0
3,-1,7,3,0,2,-1,3,1,0
3,-1,7,3,0,2,-1,3,2,0
3,-1,7,3,0,2,-1,4,1,0
3,-1,7,3,0,2,-1,4,2,0
3,-1,7,3,0,1,-1,4,2,0
3,-1,7,3,0,1,-1,4,3,0
3,17,14,0,-1,8,3,1,0,-1
3,17,14,0,-1,8,3,2,0,-1
3,17,14,0,-1,8,4,1,0,-1
3,17,14,0,-1,8,4,2,0,-1
3,17,14,0,-1,7,4,2,0,-1
3,17,14,0,-1,7,4,3,0,-1
3,17,14,0,-1,7,4,4,0,-1
4,-1,9,5,0,3,-1,3,1,0
4,-1,9,5,0,3,-1,3,2,0
4,-1,9,5,0,3,-1,4,1,0
4,-1,9,5,0,3,-1,4,2,0
4,-1,9,5,0,3,-1,3,1,0
4,-1,9,5,0,3,-1,3,2,0
4,-1,9,5,0,3,-1,4,1,0
4,-1,9,5,0,3,-1,4,2,0
5,-1,11,7,0,4,-1,3,1,0
5,-1,11,7,0,4,-1,3,2,0
5,-1,11,7,0,4,-1,4,1,0
5,-1,11,7,0,4,-1,4,2,0
5,-1,11,7,0,4,-1,3,1,0
5,-1,11,7,0,4,-1,3,2,0
5,-1,11,7,0,4,-1,4,1,0
5,-1,11,7,0,4,-1,4,2,0
6,9,10,12,-1,5,1,2,3,-1
6,9,10,12,-1,5,1,2,4,-1
6,9,10,12,-1,5,1,3,3,-1
6,9,10,12,-1,5,1,3,4,-1
6,9,10,12,-1,5,2,2,3,-1
6,9,10,12,-1,5,2,2,4,-1
6,9,10,12,-1,5,2,3,3,-1
6,9,10,12,-1,5,2,3,4,-1
6,9,10,12,-1,4,2,3,4,-1
6,9,10,12,-1,4,2,4,4,-1
6,9,10,12,-1,4,3,3,4,-1
6,9,10,12,-1,4,3,4,4,-1
6,9,10,12,-1,4,4,3,4,-1
6,9,10,12,-1,4,4,4,4,-1
6,-1,2,3,5,1,-1,1,2,3
6,-1,2,3,5,1,-1,1,2,4
6,-1,2,3,5,1,-1,1,3,3
6,-1,2,3,5,1,-1,1,3,4
6,-1,2,3,5,1,-1,2,2,3
6,-1,2,3,5,1,-1,2,2,4
6,-1,2,3,5,1,-1,2,3,3
6,-1,2,3,5,1,-1,2,3,4
7,10,10,12,-1,6,1,1,2,-1
7,10,10,12,-1,6,1,1,3,-1
7,10,10,12,-1,6,1,1,4,-1
7,10,10,12,-1,6,1,2,2,-1
7,10,10,12,-1,6,1,2,3,-1
7,10,10,12,-1,6,1,2,4,-1
7,10,10,12,-1,6,2,1,2,-1
7,10,10,12,-1,6,2,1,3,-1
7,10,10,12,-1,6,2,1,4,-1
7,10,10,12,-1,6,2,2,2,-1
7,10,10,12,-1,6,2,2,3,-1
7,10,10,12,-1,6,2,2,4,-1
7,10,10,12,-1,5,2,2,3,-1
7,10,10,12,-1,5,2,2,4,-1
7,10,10,12,-1,5,2,3,3,-1
7,10,10,12,-1,5,2,3,4,-1
7,10,10,12,-1,5,3,2,3,-1
7,10,10,12,-1,5,3,2,4,-1
7,10,10,12,-1,5,3,3,3,-1
7,10,10,12,-1,5,3,3,4,-1
7,10,10,12,-1,4,3,3,4,-1
7,10,10,12,-1,4,3,4,4,-1
7,10,10,12,-1,4,4,3,4,-1
7,10,10,12,-1,4,4,4,4,-1
7,-1,3,3,5,2,-1,1,1,2
7,-1,3,3,5,2,-1,1,1,3
7,-1,3,3,5,2,-1,1,1,4
7,-1,3,3,5,2,-1,1,2,2
7,-1,3,3,5,2,-1,1,2,3
7,-1,3,3,5,2,-1,1,2,4
7,-1,3,3,5,2,-1,2,1,2
7,-1,3,3,5,2,-1,2,1,3
7,-1,3,3,5,2,-1,2,1,4
7,-1,3,3,5,2,-1,2,2,2
7,-1,3,3,5,2,-1,2,2,3
7,-1,3,3,5,2,-1,2,2,4
7,-1,3,3,5,1,-1,2,2,3
7,-1,3,3,5,1,-1,2,2,4
7,-1,3,3,5,1,-1,2,3,3
7,-1,3,3,5,1,-1,2,3,4
7,-1,3,3,5,1,-1,3,2,3
7,-1,3,3,5,1,-1,3,2,4
7,-1,3,3,5,1,-1,3,3,3
7,-1,3,3,5,1,-1,3,3,4
