sound_num,height_g,height_d,height_a,height_e,position,fin_g,fin_d,fin_a,fin_e
0,-1,-1,-1,3,2,-1,-1,-1,1
0,-1,-1,-1,3,2,-1,-1,-1,2
0,-1,-1,-1,3,1,-1,-1,-1,2
0,-1,-1,-1,3,1,-1,-1,-1,3
0,-1,17,-1,-1,10,-1,1,-1,-1
0,-1,17,-1,-1,10,-1,2,-1,-1
0,-1,17,-1,-1,9,-1,2,-1,-1
0,-1,17,-1,-1,9,-1,3,-1,-1
0,-1,17,-1,-1,9,-1,4,-1,-1
0,-1,17,-1,-1,8,-1,3,-1,-1
0,-1,17,-1,-1,8,-1,4,-1,-1
0,-1,17,-1,-1,7,-1,4,-1,-1
0,-1,-1,10,-1,6,-1,-1,1,-1
0,-1,-1,10,-1,6,-1,-1,2,-1
0,-1,-1,10,-1,5,-1,-1,2,-1
0,-1,-1,10,-1,5,-1,-1,3,-1
0,-1,-1,10,-1,5,-1,-1,4,-1
0,-1,-1,10,-1,4,-1,-1,3,-1
0,-1,-1,10,-1,4,-1,-1,4,-1
0,-1,-1,10,-1,3,-1,-1,4,-1
1,-1,-1,-1,3,2,-1,-1,-1,1
1,-1,-1,-1,3,2,-1,-1,-1,2
1,-1,-1,-1,3,1,-1,-1,-1,2
1,-1,-1,-1,3,1,-1,-1,-1,3
1,-1,17,-1,-1,10,-1,1,-1,-1
1,-1,17,-1,-1,10,-1,2,-1,-1
1,-1,17,-1,-1,9,-1,2,-1,-1
1,-1,17,-1,-1,9,-1,3,-1,-1
1,-1,17,-1,-1,9,-1,4,-1,-1
1,-1,17,-1,-1,8,-1,3,-1,-1
1,-1,17,-1,-1,8,-1,4,-1,-1
1,-1,17,-1,-1,7,-1,4,-1,-1
1,-1,-1,10,-1,6,-1,-1,1,-1
1,-1,-1,10,-1,6,-1,-1,2,-1
1,-1,-1,10,-1,5,-1,-1,2,-1
1,-1,-1,10,-1,5,-1,-1,3,-1
1,-1,-1,10,-1,5,-1,-1,4,-1
1,-1,-1,10,-1,4,-1,-1,3,-1
1,-1,-1,10,-1,4,-1,-1,4,-1
1,-1,-1,10,-1,3,-1,-1,4,-1
2,-1,-1,-1,2,1,-1,-1,-1,1
2,-1,-1,-1,2,1,-1,-1,-1,2
2,-1,16,-1,-1,10,-1,1,-1,-1
2,-1,16,-1,-1,9,-1,2,-1,-1
2,-1,16,-1,-1,9,-1,3,-1,-1
2,-1,16,-1,-1,8,-1,2,-1,-1
2,-1,16,-1,-1,8,-1,3,-1,-1
2,-1,16,-1,-1,8,-1,4,-1,-1
2,-1,16,-1,-1,7,-1,3,-1,-1
2,-1,16,-1,-1,7,-1,4,-1,-1
2,-1,-1,9,-1,6,-1,-1,1,-1
2,-1,-1,9,-1,5,-1,-1,2,-1
2,-1,-1,9,-1,5,-1,-1,3,-1
2,-1,-1,9,-1,4,-1,-1,2,-1
2,-1,-1,9,-1,4,-1,-1,3,-1
2,-1,-1,9,-1,4,-1,-1,4,-1
2,-1,-1,9,-1,3,-1,-1,3,-1
2,-1,-1,9,-1,3,-1,-1,4,-1
3,-1,-1,-1,3,2,-1,-1,-1,1
3,-1,-1,-1,3,2,-1,-1,-1,2
3,-1,-1,-1,3,1,-1,-1,-1,2
3,-1,-1,-1,3,1,-1,-1,-1,3
3,-1,17,-1,-1,10,-1,1,-1,-1
3,-1,17,-1,-1,10,-1,2,-1,-1
3,-1,17,-1,-1,9,-1,2,-1,-1
3,-1,17,-1,-1,9,-1,3,-1,-1
3,-1,17,-1,-1,9,-1,4,-1,-1
3,-1,17,-1,-1,8,-1,3,-1,-1
3,-1,17,-1,-1,8,-1,4,-1,-1
3,-1,17,-1,-1,7,-1,4,-1,-1
3,-1,-1,10,-1,6,-1,-1,1,-1
3,-1,-1,10,-1,6,-1,-1,2,-1
3,-1,-1,10,-1,5,-1,-1,2,-1
3,-1,-1,10,-1,5,-1,-1,3,-1
3,-1,-1,10,-1,5,-1,-1,4,-1
3,-1,-1,10,-1,4,-1,-1,3,-1
3,-1,-1,10,-1,4,-1,-1,4,-1
3,-1,-1,10,-1,3,-1,-1,4,-1
4,-1,-1,-1,2,1,-1,-1,-1,1
4,-1,-1,-1,2,1,-1,-1,-1,2
4,-1,16,-1,-1,10,-1,1,-1,-1
4,-1,16,-1,-1,9,-1,2,-1,-1
4,-1,16,-1,-1,9,-1,3,-1,-1
4,-1,16,-1,-1,8,-1,2,-1,-1
4,-1,16,-1,-1,8,-1,3,-1,-1
4,-1,16,-1,-1,8,-1,4,-1,-1
4,-1,16,-1,-1,7,-1,3,-1,-1
4,-1,16,-1,-1,7,-1,4,-1,-1
4,-1,-1,9,-1,6,-1,-1,1,-1
4,-1,-1,9,-1,5,-1,-1,2,-1
4,-1,-1,9,-1,5,-1,-1,3,-1
4,-1,-1,9,-1,4,-1,-1,2,-1
4,-1,-1,9,-1,4,-1,-1,3,-1
4,-1,-1,9,-1,4,-1,-1,4,-1
4,-1,-1,9,-1,3,-1,-1,3,-1
