sound_num,height_g,height_d,height_a,height_e,position,fin_g,fin_d,fin_a,fin_e
1,-1,-1,-1,3,2,-1,-1,-1,1
1,-1,-1,-1,3,2,-1,-1,-1,2
1,-1,-1,-1,3,1,-1,-1,-1,2
1,-1,-1,-1,3,1,-1,-1,-1,3
1,-1,17,-1,-1,10,-1,1,-1,-1
1,-1,17,-1,-1,10,-1,2,-1,-1
1,-1,17,-1,-1,9,-1,2,-1,-1
1,-1,17,-1,-1,9,-1,3,-1,-1
1,-1,17,-1,-1,9,-1,4,-1,-1
1,-1,17,-1,-1,8,-1,3,-1,-1
1,-1,17,-1,-1,8,-1,4,-1,-1
1,-1,17,-1,-1,7,-1,4,-1,-1
1,-1,-1,10,-1,6,-1,-1,1,-1
1,-1,-1,10,-1,6,-1,-1,2,-1
1,-1,-1,10,-1,5,-1,-1,2,-1
1,-1,-1,10,-1,5,-1,-1,3,-1
1,-1,-1,10,-1,5,-1,-1,4,-1
1,-1,-1,10,-1,4,-1,-1,3,-1
1,-1,-1,10,-1,4,-1,-1,4,-1
1,-1,-1,10,-1,3,-1,-1,4,-1
2,-1,21,-1,-1,12,-1,1,-1,-1
2,-1,21,-1,-1,12,-1,2,-1,-1
2,-1,21,-1,-1,11,-1,2,-1,-1
2,-1,21,-1,-1,11,-1,3,-1,-1
2,-1,21,-1,-1,11,-1,4,-1,-1
2,-1,21,-1,-1,10,-1,3,-1,-1
2,-1,21,-1,-1,10,-1,4,-1,-1
2,-1,-1,-1,7,4,-1,-1,-1,1
2,-1,-1,-1,7,4,-1,-1,-1,2
2,-1,-1,-1,7,3,-1,-1,-1,2
2,-1,-1,-1,7,3,-1,-1,-1,3
2,-1,-1,-1,7,3,-1,-1,-1,4
2,-1,-1,-1,7,2,-1,-1,-1,3
2,-1,-1,-1,7,2,-1,-1,-1,4
2,-1,-1,-1,7,1,-1,-1,-1,4
2,-1,-1,14,-1,8,-1,-1,1,-1
2,-1,-1,14,-1,8,-1,-1,2,-1
2,-1,-1,14,-1,7,-1,-1,2,-1
2,-1,-1,14,-1,7,-1,-1,3,-1
2,-1,-1,14,-1,7,-1,-1,4,-1
2,-1,-1,14,-1,6,-1,-1,3,-1
2,-1,-1,14,-1,6,-1,-1,4,-1
3,-1,19,-1,-1,11,-1,1,-1,-1
3,-1,19,-1,-1,11,-1,2,-1,-1
3,-1,19,-1,-1,10,-1,2,-1,-1
3,-1,19,-1,-1,10,-1,3,-1,-1
3,-1,19,-1,-1,10,-1,4,-1,-1
3,-1,19,-1,-1,9,-1,3,-1,-1
3,-1,19,-1,-1,9,-1,4,-1,-1
3,-1,19,-1,-1,8,-1,4,-1,-1
3,-1,-1,-1,5,3,-1,-1,-1,1
3,-1,-1,-1,5,3,-1,-1,-1,2
3,-1,-1,-1,5,2,-1,-1,-1,2
3,-1,-1,-1,5,2,-1,-1,-1,3
3,-1,-1,-1,5,2,-1,-1,-1,4
3,-1,-1,-1,5,1,-1,-1,-1,3
3,-1,-1,-1,5,1,-1,-1,-1,4
3,-1,-1,12,-1,7,-1,-1,1,-1
3,-1,-1,12,-1,7,-1,-1,2,-1
3,-1,-1,12,-1,6,-1,-1,2,-1
3,-1,-1,12,-1,6,-1,-1,3,-1
3,-1,-1,12,-1,6,-1,-1,4,-1
3,-1,-1,12,-1,5,-1,-1,3,-1
3,-1,-1,12,-1,5,-1,-1,4,-1
3,-1,-1,12,-1,4,-1,-1,4,-1
4,-1,-1,-1,3,2,-1,-1,-1,1
4,-1,-1,-1,3,2,-1,-1,-1,2
4,-1,-1,-1,3,1,-1,-1,-1,2
4,-1,-1,-1,3,1,-1,-1,-1,3
4,-1,17,-1,-1,10,-1,1,-1,-1
4,-1,17,-1,-1,10,-1,2,-1,-1
4,-1,17,-1,-1,9,-1,2,-1,-1
4,-1,17,-1,-1,9,-1,3,-1,-1
4,-1,17,-1,-1,9,-1,4,-1,-1
4,-1,17,-1,-1,8,-1,3,-1,-1
4,-1,17,-1,-1,8,-1,4,-1,-1
4,-1,17,-1,-1,7,-1,4,-1,-1
4,-1,-1,10,-1,6,-1,-1,1,-1
4,-1,-1,10,-1,6,-1,-1,2,-1
4,-1,-1,10,-1,5,-1,-1,2,-1
4,-1,-1,10,-1,5,-1,-1,3,-1
4,-1,-1,10,-1,5,-1,-1,4,-1
4,-1,-1,10,-1,4,-1,-1,3,-1
4,-1,-1,10,-1,4,-1,-1,4,-1
4,-1,-1,10,-1,3,-1,-1,4,-1
5,-1,-1,-1,3,2,-1,-1,-1,1
5,-1,-1,-1,3,2,-1,-1,-1,2
5,-1,-1,-1,3,1,-1,-1,-1,2
5,-1,-1,-1,3,1,-1,-1,-1,3
5,-1,17,-1,-1,10,-1,1,-1,-1
5,-1,17,-1,-1,10,-1,2,-1,-1
5,-1,17,-1,-1,9,-1,2,-1,-1
5,-1,17,-1,-1,9,-1,3,-1,-1
5,-1,17,-1,-1,9,-1,4,-1,-1
5,-1,17,-1,-1,8,-1,3,-1,-1
5,-1,17,-1,-1,8,-1,4,-1,-1
5,-1,17,-1,-1,7,-1,4,-1,-1
5,-1,-1,10,-1,6,-1,-1,1,-1
5,-1,-1,10,-1,6,-1,-1,2,-1
5,-1,-1,10,-1,5,-1,-1,2,-1
5,-1,-1,10,-1,5,-1,-1,3,-1
5,-1,-1,10,-1,5,-1,-1,4,-1
5,-1,-1,10,-1,4,-1,-1,3,-1
5,-1,-1,10,-1,4,-1,-1,4,-1
5,-1,-1,10,-1,3,-1,-1,4,-1
6,-1,14,10,0,6,-1,3,1,0
6,-1,14,10,0,6,-1,3,2,0
6,-1,14,10,0,6,-1,4,1,0
6,-1,14,10,0,6,-1,4,2,0
6,-1,14,10,0,6,-1,3,1,0
6,-1,14,10,0,6,-1,3,2,0
6,-1,14,10,0,6,-1,4,1,0
6,-1,14,10,0,6,-1,4,2,0
6,-1,14,10,0,5,-1,4,2,0
6,-1,14,10,0,5,-1,4,3,0
6,-1,14,10,0,5,-1,4,4,0
7,-1,-1,-1,3,2,-1,-1,-1,1
7,-1,-1,-1,3,2,-1,-1,-1,2
7,-1,-1,-1,3,1,-1,-1,-1,2
7,-1,-1,-1,3,1,-1,-1,-1,3
7,-1,17,-1,-1,10,-1,1,-1,-1
7,-1,17,-1,-1,10,-1,2,-1,-1
7,-1,17,-1,-1,9,-1,2,-1,-1
7,-1,17,-1,-1,9,-1,3,-1,-1
7,-1,17,-1,-1,9,-1,4,-1,-1
7,-1,17,-1,-1,8,-1,3,-1,-1
7,-1,17,-1,-1,8,-1,4,-1,-1
7,-1,17,-1,-1,7,-1,4,-1,-1
7,-1,-1,10,-1,6,-1,-1,1,-1
7,-1,-1,10,-1,6,-1,-1,2,-1
7,-1,-1,10,-1,5,-1,-1,2,-1
7,-1,-1,10,-1,5,-1,-1,3,-1
7,-1,-1,10,-1,5,-1,-1,4,-1
7,-1,-1,10,-1,4,-1,-1,3,-1
7,-1,-1,10,-1,4,-1,-1,4,-1
7,-1,-1,10,-1,3,-1,-1,4,-1
8,21,-1,-1,-1,12,1,-1,-1,-1
