sound_num,pitch,string,position,finger
0,55,g,1,0
0,64,d,1,1
1,60,g,1,3
1,64,d,1,1
2,64,d,1,1
2,72,a,1,2
3,67,d,1,3
3,72,a,1,2
4,67,d,1,3
4,76,a,1,4
5,76,a,1,4
5,79,e,1,2
6,76,a,1,4
6,79,e,1,2
7,67,d,1,3
7,76,a,1,4
8,67,d,1,3
8,72,a,1,2
9,64,d,1,1
9,72,a,1,2
10,60,g,1,3
10,64,d,1,1
11,55,g,1,0
11,64,d,1,1
12,57,g,1,1
12,64,d,1,1
13,60,g,1,3
13,64,d,1,1
14,60,g,1,3
14,69,d,1,4
15,69,d,1,4
15,72,a,1,2
16,72,a,1,2
16,76,e,1,0
17,72,a,1,2
17,81,e,1,3
18,57,g,1,1
18,65,d,1,2
19,60,g,1,3
19,65,d,1,2
20,60,g,1,3
20,69,d,1,4
21,69,d,1,4
21,72,a,1,2
22,72,a,1,2
22,77,e,1,1
23,72,a,1,2
23,81,e,1,3
24,72,a,1,2
24,81,e,1,3
25,72,a,1,2
25,77,e,1,1
26,69,d,1,4
26,72,a,1,2
27,60,g,1,3
27,69,d,1,4
28,60,g,1,3
28,65,d,1,2
29,57,g,1,1
29,65,d,1,2
30,57,g,1,1
30,65,d,1,2
31,62,g,1,4
31,65,d,1,2
32,65,d,1,2
32,69,a,1,0
33,65,d,1,2
33,74,a,1,3
34,69,d,1,4
34,74,a,1,3
35,74,a,1,3
35,77,e,1,1
36,74,a,1,3
36,77,e,1,1
37,69,d,1,4
37,74,a,1,3
38,65,d,1,2
38,74,a,1,3
39,65,d,1,2
39,69,a,1,0
40,62,g,1,4
40,65,d,1,2
41,57,g,1,1
41,65,d,1,2
