sound_num,pitch,string,position,finger
0,64,d,1,1
0,72,a,1,2
0,76,e,1,0
1,66,d,1,2
1,72,a,1,3
1,76,e,1,0
2,68,d,1,3
2,72,a,1,2
2,76,e,1,0
3,69,d,1,4
3,72,a,1,2
3,76,e,1,0
4,71,d,3,3
4,74,a,3,1
4,76,e,3,0
5,73,d,4,3
5,76,a,4,1
5,76,e,4,0
6,64,d,1,1
6,72,a,1,2
6,81,e,1,3
7,65,d,1,2
7,72,a,1,2
7,81,e,1,3
8,66,d,2,3
8,74,a,2,2
8,84,e,2,4
9,67,d,1,3
9,74,a,1,3
9,83,e,1,4
10,68,d,3,2
10,76,a,3,3
10,86,e,3,4
11,69,d,3,2
11,76,a,3,2
11,83,e,3,3
12,69,d,4,1
12,77,a,4,2
12,87,e,4,3
13,70,d,3,3
13,77,a,3,3
13,86,e,3,4
14,68,d,3,2
14,76,a,3,3
14,86,e,3,4
15,69,d,3,2
15,76,a,3,2
15,85,e,3,3
16,66,d,3,1
16,74,a,3,2
16,84,e,3,3
17,67,d,1,3
17,74,a,1,3
17,83,e,1,4
18,64,d,1,1
18,72,a,1,2
18,82,e,1,3
19,65,d,1,2
19,72,a,1,2
19,81,e,1,3
20,65,d,1,2
20,72,a,1,2
20,81,e,1,3
21,64,d,1,1
21,72,a,1,2
21,81,e,1,3
22,63,d,1,1
22,71,a,1,2
22,81,e,1,3
23,64,d,1,1
23,72,a,1,2
23,81,e,1,3
