sound_num,pitch,string,position,finger
0,62,g,1,4
1,62,g,1,4
2,64,d,1,1
3,65,d,1,2
4,67,d,1,3
5,69,d,1,4
6,70,a,1,1
7,61,g,1,3
8,70,a,1,1
9,69,d,1,4
10,67,d,1,3
11,76,a,1,4
12,67,d,1,3
13,65,d,1,2
14,61,g,1,3
15,62,g,1,4
16,57,g,1,1
17,58,g,1,2
18,62,g,1,4
19,65,d,1,2
20,67,d,1,3
21,61,g,1,3
22,57,g,1,1
23,61,g,1,3
24,64,d,1,1
25,69,d,1,4
26,67,d,1,3
27,65,d,1,2
28,67,d,1,3
29,65,d,1,2
30,64,d,1,1
31,65,d,1,2
32,62,g,1,4
33,65,d,1,2
34,69,d,1,4
35,70,a,1,1
36,69,d,1,4
37,67,d,1,3
38,69,d,1,4
39,67,d,1,3
40,65,d,1,2
41,64,d,1,1
42,67,d,1,3
43,70,a,1,1
44,74,a,1,3
45,72,a,1,2
46,70,a,1,1
47,69,d,1,4
48,70,a,1,1
49,69,d,1,4
50,67,d,1,3
51,69,d,1,4
52,65,d,1,2
53,69,d,1,4
54,72,a,1,2
55,77,e,1,1
56,79,e,1,2
57,81,e,1,3
58,72,a,1,2
59,74,a,1,3
60,69,d,1,4
61,70,a,1,1
62,74,a,1,3
63,79,e,1,2
64,81,e,1,3
65,82,e,1,3
66,74,a,1,3
67,76,a,1,4
68,70,a,1,1
69,72,a,1,2
70,67,d,1,3
71,69,d,1,4
72,70,a,1,1
73,72,a,1,2
74,64,d,1,1
75,65,d,1,2
76,57,g,1,1
77,58,g,1,2
78,67,d,1,3
79,60,g,1,3
80,64,d,1,1
81,67,d,1,3
82,70,a,1,1
83,69,d,1,4
84,67,d,1,3
85,65,d,1,2
86,69,d,1,4
87,74,a,1,3
88,65,d,1,2
89,64,d,1,1
90,62,g,1,4
91,61,g,1,3
92,76,a,1,4
93,77,e,1,1
94,79,e,1,2
95,69,d,1,4
96,79,e,1,2
97,77,e,1,1
98,76,a,1,4
99,77,e,1,1
100,76,a,1,4
101,74,a,1,3
102,64,d,1,1
103,62,g,1,4
104,60,g,1,3
105,59,g,1,2
106,57,g,1,1
