sound_num,pitch,string,position,finger
0,81,e,1,3
1,79,e,1,2
2,77,e,1,1
3,76,a,1,4
4,77,e,1,1
5,79,e,1,2
6,77,e,1,1
7,76,a,1,4
8,74,a,1,3
9,72,a,1,2
10,74,a,1,3
11,72,a,1,2
12,71,a,1,1
13,72,a,1,2
14,74,a,1,3
15,72,a,1,2
16,70,a,1,1
17,69,d,1,4
18,67,d,1,3
19,65,d,1,2
20,64,d,1,1
21,65,d,1,2
22,77,e,1,1
23,74,a,1,3
24,72,a,1,2
25,70,a,1,1
26,70,a,1,1
27,72,a,1,2
28,70,a,1,1
29,69,d,1,4
30,70,a,1,1
31,82,e,1,3
32,79,e,1,2
33,77,e,1,1
34,76,a,1,4
35,76,a,1,4
36,77,e,1,1
37,76,a,1,4
38,75,a,1,3
39,76,a,1,4
40,86,e,3,4
41,84,e,3,3
42,84,e,3,3
43,82,e,1,3
44,81,e,1,3
45,79,e,1,2
46,77,e,1,1
47,78,e,1,1
48,79,e,1,2
49,81,e,1,3
50,82,e,1,3
51,71,a,1,1
52,72,a,1,2
53,74,a,1,3
54,76,a,1,4
56,60,g,3,1
56,60,g,1,3
57,65,d,1,2
58,60,g,1,3
59,57,g,1,1
60,60,g,1,3
61,65,d,1,2
62,60,g,1,3
63,57,g,1,1
64,60,g,1,3
65,65,d,1,2
66,60,g,1,3
67,57,g,1,1
68,60,g,1,3
69,65,d,1,2
70,60,g,1,3
71,57,g,1,1
72,62,g,1,4
73,65,d,1,2
74,62,g,1,4
75,57,g,1,1
76,62,g,1,4
77,65,d,1,2
78,62,g,1,4
79,58,g,1,2
80,62,g,1,4
81,67,d,1,3
82,62,g,1,4
83,58,g,1,2
84,62,g,1,4
85,67,d,1,3
86,62,g,1,4
87,58,g,1,2
88,62,g,1,4
89,67,d,1,3
90,62,g,1,4
91,58,g,1,2
92,62,g,1,4
93,67,d,1,3
94,62,g,1,4
95,58,g,1,2
96,64,d,1,1
97,67,d,1,3
98,64,d,1,1
99,58,g,1,2
100,67,d,1,3
101,64,d,1,1
102,58,g,1,2
104,58,g,2,1
104,58,g,1,2
105,64,d,1,1
106,58,g,1,2
108,60,g,3,1
108,60,g,1,3
109,64,d,1,1
110,60,g,1,3
111,57,g,1,1
112,60,g,1,3
113,65,d,1,2
114,60,g,1,3
115,57,g,1,1
116,62,g,1,4
117,65,d,1,2
118,62,g,1,4
119,57,g,1,1
120,62,g,1,4
121,65,d,1,2
122,62,g,1,4
123,65,d,1,2
124,59,g,1,2
125,62,g,1,4
126,65,d,1,2
127,64,d,1,1
128,67,d,1,3
129,64,d,1,1
130,60,g,1,3
131,58,g,1,2
132,67,d,1,3
133,64,d,1,1
134,58,g,1,2
135,57,g,1,1
136,65,d,1,2
137,56,g,1,1
138,65,d,1,2
140,59,g,2,1
140,59,g,1,2
141,62,g,1,4
142,65,d,1,2
143,64,d,1,1
144,67,d,1,3
145,64,d,1,1
146,60,g,1,3
147,58,g,1,2
148,67,d,1,3
149,64,d,1,1
150,58,g,1,2
151,57,g,1,1
152,65,d,1,2
153,56,g,1,1
154,65,d,1,2
156,59,g,2,1
156,59,g,1,2
157,62,g,1,4
158,65,d,1,2
159,64,d,1,1
160,65,d,1,2
161,64,d,1,1
162,65,d,1,2
163,64,d,1,1
164,72,a,1,2
165,74,a,1,3
166,74,a,1,3
167,73,a,1,2
168,74,a,1,3
169,69,d,1,4
170,71,a,1,1
170,79,e,1,2
171,79,e,1,2
172,78,e,1,1
173,79,e,1,2
174,74,a,1,3
175,75,a,1,3
176,60,g,1,3
177,63,d,1,1
178,66,d,1,2
179,72,a,1,2
180,74,a,1,3
181,75,a,1,3
182,72,a,1,2
183,67,d,1,3
183,71,a,1,1
183,79,e,1,2
184,66,d,1,2
185,67,d,1,3
186,66,d,1,2
187,67,d,1,3
188,66,d,1,2
189,67,d,1,3
190,66,d,1,2
191,65,d,1,2
192,64,d,1,1
193,63,d,1,1
194,62,g,1,4
195,60,g,1,3
196,76,a,1,4
197,77,e,1,1
198,79,e,1,2
199,79,e,1,2
200,76,a,1,4
201,77,e,1,1
202,79,e,1,2
203,79,e,1,2
204,79,e,1,2
205,77,e,1,1
206,74,a,1,3
207,71,a,1,1
208,67,d,1,3
209,65,d,1,2
210,64,d,1,1
211,76,a,1,4
212,77,e,1,1
213,79,e,1,2
214,79,e,1,2
215,76,a,1,4
216,77,e,1,1
217,79,e,1,2
218,79,e,1,2
219,79,e,1,2
220,77,e,1,1
221,74,a,1,3
222,71,a,1,1
223,67,d,1,3
224,65,d,1,2
225,63,d,1,1
226,75,a,1,3
227,77,e,1,1
228,79,e,1,2
229,79,e,1,2
230,79,e,1,2
231,79,e,1,2
232,79,e,1,2
233,79,e,1,2
234,79,e,1,2
235,78,e,1,1
236,74,a,1,3
237,75,a,1,3
