sound_num,pitch,string,position,finger
0,64,d,1,1
1,69,d,1,4
2,73,a,1,2
3,69,d,1,4
4,71,a,1,1
5,71,a,1,1
6,69,d,1,4
7,68,d,1,3
8,66,d,1,2
9,68,d,1,3
10,69,d,1,4
11,64,d,1,1
12,64,d,1,1
13,69,d,1,4
14,73,a,1,2
15,76,a,1,4
16,76,a,1,4
17,77,e,1,1
18,78,e,1,1
19,73,a,1,2
20,76,a,1,4
21,74,a,1,3
22,76,a,1,4
23,71,a,1,1
24,74,a,1,3
25,73,a,1,2
26,76,a,1,4
27,74,a,1,3
28,73,a,1,2
29,71,a,1,1
30,57,g,1,1
31,61,g,1,3
33,69,g,8,1
33,69,d,1,4
34,64,d,1,1
35,61,g,1,3
36,57,g,1,1
37,57,g,1,1
38,61,g,1,3
39,64,d,1,1
40,64,d,1,1
41,61,g,1,3
42,66,d,1,2
43,61,g,1,3
44,62,g,1,4
45,59,g,1,2
46,64,d,1,1
47,59,g,1,2
48,64,d,1,1
49,57,g,1,1
50,61,g,1,3
51,59,g,1,2
52,57,g,1,1
53,56,g,1,1
54,71,a,1,1
55,71,a,1,1
56,71,a,1,1
57,71,a,1,1
58,71,a,1,1
59,71,a,1,1
60,73,a,1,2
61,75,a,1,3
62,76,a,1,4
63,76,a,1,4
64,75,a,1,3
65,75,a,1,3
66,76,a,1,4
67,75,a,1,3
68,73,a,1,2
69,75,a,1,3
70,78,e,1,1
71,76,a,1,4
72,76,a,1,4
73,76,a,1,4
74,76,a,1,4
75,76,a,1,4
76,76,a,1,4
77,81,e,1,3
78,78,e,1,1
79,74,a,1,3
80,73,a,1,2
81,73,a,1,2
82,76,a,1,4
83,74,a,1,3
84,76,a,1,4
85,71,a,1,1
86,76,a,1,4
87,76,a,1,4
88,69,d,1,4
90,59,g,2,1
90,59,g,1,2
91,57,g,1,1
92,56,g,1,1
93,68,d,1,3
94,71,a,1,1
95,69,d,1,4
96,68,d,1,3
97,69,d,1,4
98,71,a,1,1
99,73,a,1,2
100,74,a,1,3
101,73,a,1,2
102,74,a,1,3
103,73,a,1,2
104,74,a,1,3
105,73,a,1,2
106,74,a,1,3
107,71,a,1,1
108,73,a,1,2
109,69,d,1,4
110,64,d,1,1
111,61,g,1,3
112,64,d,1,1
113,61,g,1,3
114,66,d,1,2
115,69,d,1,4
116,69,d,1,4
117,64,d,1,1
118,64,d,1,1
119,61,g,1,3
120,64,d,1,1
121,62,g,1,4
122,64,d,1,1
123,59,g,1,2
124,64,d,1,1
124,76,a,1,4
125,81,e,1,3
126,80,e,1,2
127,81,e,1,3
128,76,a,1,4
129,74,a,1,3
130,73,a,1,2
131,76,a,1,4
132,75,a,1,3
133,76,a,1,4
134,73,a,1,2
135,71,a,1,1
136,64,d,1,1
136,69,a,1,0
137,76,a,1,4
138,78,e,1,1
139,80,e,1,2
140,80,e,1,2
141,81,e,1,3
142,83,e,1,4
143,83,e,1,4
144,85,e,3,3
145,86,e,3,4
146,83,e,1,4
147,80,e,1,2
148,76,a,1,4
148,81,e,1,3
149,81,e,1,3
150,80,e,1,2
151,81,e,1,3
152,76,a,1,4
153,74,a,1,3
154,73,a,1,2
155,76,a,1,4
156,75,a,1,3
157,76,a,1,4
158,73,a,1,2
159,71,a,1,1
160,64,d,1,1
160,69,a,1,0
161,76,a,1,4
162,78,e,1,1
163,80,e,1,2
164,80,e,1,2
165,81,e,1,3
166,83,e,1,4
167,83,e,1,4
168,81,e,1,3
169,80,e,1,2
170,78,e,1,1
171,76,a,1,4
173,63,g,5,1
173,63,d,1,1
174,66,d,1,2
175,69,d,1,4
176,68,d,1,3
177,64,d,1,1
178,66,d,1,2
179,68,d,1,3
180,68,d,1,3
181,69,d,1,4
182,71,a,1,1
183,71,a,1,1
184,73,a,1,2
185,74,a,1,3
186,74,a,1,3
187,75,a,1,3
188,76,a,1,4
188,76,e,1,0
189,81,e,1,3
190,81,e,1,3
191,81,e,1,3
192,76,a,1,4
193,74,a,1,3
194,71,a,1,1
195,69,d,1,4
196,81,e,1,3
197,80,e,1,2
198,81,e,1,3
199,85,e,3,3
200,83,e,1,4
201,81,e,1,3
202,80,e,1,2
203,78,e,1,1
204,76,a,1,4
205,74,a,1,3
206,73,a,1,2
208,63,g,5,1
208,63,d,1,1
209,66,d,1,2
210,69,d,1,4
211,68,d,1,3
212,64,d,1,1
213,66,d,1,2
214,68,d,1,3
215,68,d,1,3
216,69,d,1,4
217,71,a,1,1
218,71,a,1,1
219,73,a,1,2
220,74,a,1,3
221,74,a,1,3
222,75,a,1,3
223,76,a,1,4
223,76,e,1,0
224,81,e,1,3
225,81,e,1,3
