sound_num,pitch,string,position,finger
0,80,e,1,2
1,71,a,1,1
2,80,e,1,2
3,78,e,1,1
4,76,a,1,4
5,75,a,1,3
6,76,a,1,4
7,81,e,1,3
8,81,e,1,3
9,81,e,1,3
10,71,a,1,1
11,80,e,1,2
12,72,a,1,2
13,80,e,1,2
14,78,e,1,1
15,76,a,1,4
16,75,a,1,3
17,76,a,1,4
18,78,e,1,1
19,78,e,1,1
20,78,e,1,1
21,78,e,1,1
22,80,e,1,2
23,71,a,1,1
24,80,e,1,2
25,78,e,1,1
26,76,a,1,4
27,75,a,1,3
28,76,a,1,4
29,85,e,3,3
30,85,e,3,3
31,85,e,3,3
32,83,e,1,4
33,81,e,1,3
34,80,e,1,2
35,78,e,1,1
36,76,a,1,4
37,76,a,1,4
38,73,a,1,2
39,75,a,1,3
40,76,a,1,4
40,76,e,1,0
41,71,a,1,1
42,80,e,1,2
43,71,a,1,1
44,80,e,1,2
45,78,e,1,1
46,76,a,1,4
47,75,a,1,3
48,76,a,1,4
49,81,e,1,3
50,81,e,1,3
51,81,e,1,3
52,71,a,1,1
53,80,e,1,2
54,72,a,1,2
55,80,e,1,2
56,78,e,1,1
57,76,a,1,4
58,75,a,1,3
59,76,a,1,4
60,78,e,1,1
61,78,e,1,1
62,78,e,1,1
63,78,e,1,1
64,80,e,1,2
65,71,a,1,1
66,80,e,1,2
67,78,e,1,1
68,76,a,1,4
69,75,a,1,3
70,76,a,1,4
71,85,e,3,3
72,85,e,3,3
73,85,e,3,3
74,83,e,1,4
75,81,e,1,3
76,80,e,1,2
77,78,e,1,1
78,76,a,1,4
79,76,a,1,4
80,73,a,1,2
81,75,a,1,3
82,76,a,1,4
82,76,e,1,0
83,76,a,1,4
84,79,e,1,2
85,78,e,1,1
86,76,a,1,4
87,72,a,1,2
88,74,a,1,3
89,76,a,1,4
90,78,e,1,1
91,76,a,1,4
92,74,a,1,3
93,71,a,1,1
94,72,a,1,2
95,74,a,1,3
96,76,a,1,4
97,78,e,1,1
98,79,e,1,2
99,81,e,1,3
100,83,e,1,4
101,84,e,3,3
102,86,e,3,4
103,90,e,7,2
104,88,e,5,3
105,86,e,3,4
106,84,e,3,3
107,83,e,1,4
108,81,e,1,3
109,79,e,1,2
110,76,a,1,4
111,78,e,1,1
112,79,e,1,2
113,79,e,1,2
114,83,e,1,4
115,81,e,1,3
116,79,e,1,2
117,78,e,1,1
118,75,a,1,3
119,76,a,1,4
120,78,e,1,1
121,79,e,1,2
122,81,e,1,3
123,83,e,1,4
124,84,e,3,3
125,91,e,7,3
126,90,e,9,1
128,83,d,12,1
128,83,e,1,4
129,81,e,1,3
130,80,e,1,2
131,71,a,1,1
132,80,e,1,2
133,78,e,1,1
134,76,a,1,4
135,75,a,1,3
136,76,a,1,4
137,81,e,1,3
138,81,e,1,3
139,81,e,1,3
140,71,a,1,1
141,80,e,1,2
142,72,a,1,2
143,80,e,1,2
144,78,e,1,1
145,76,a,1,4
146,75,a,1,3
147,76,a,1,4
148,78,e,1,1
149,78,e,1,1
150,78,e,1,1
151,78,e,1,1
152,80,e,1,2
153,71,a,1,1
154,80,e,1,2
155,78,e,1,1
156,76,a,1,4
157,75,a,1,3
158,76,a,1,4
159,85,e,3,3
160,85,e,3,3
161,85,e,3,3
162,87,e,5,3
163,88,e,5,3
164,93,e,7,4
165,90,e,7,2
166,88,e,5,3
167,86,e,3,4
168,84,e,3,3
169,78,e,1,1
170,85,e,3,3
171,85,e,3,3
172,83,e,1,4
173,80,e,1,2
174,78,e,1,1
175,76,a,1,4
176,71,a,1,1
177,72,a,1,2
178,81,e,1,3
179,78,e,1,1
180,76,a,1,4
181,74,a,1,3
182,72,a,1,2
183,66,d,1,2
184,73,a,1,2
185,73,a,1,2
186,71,a,1,1
187,68,d,1,3
188,66,d,1,2
189,64,d,1,1
190,59,g,1,2
191,60,g,1,3
192,61,g,1,3
193,56,g,1,1
194,57,g,1,1
195,59,g,1,2
196,61,g,1,3
197,69,d,1,4
198,68,d,1,3
199,66,d,1,2
200,64,d,1,1
201,60,g,1,3
202,61,g,1,3
203,63,d,1,1
204,64,d,1,1
205,76,a,1,4
206,75,a,1,3
207,73,a,1,2
208,71,a,1,1
209,63,d,1,1
210,66,d,1,2
211,64,d,1,1
212,63,d,1,1
213,71,a,1,1
214,71,a,1,1
215,68,d,1,3
216,68,d,1,3
217,66,d,1,2
218,61,g,1,3
219,63,d,1,1
221,68,g,8,1
221,68,d,1,3
222,71,a,1,1
223,72,a,1,2
224,73,a,1,2
225,73,a,1,2
226,75,a,1,3
227,76,a,1,4
227,76,e,1,0
228,80,e,1,2
229,83,e,1,4
230,84,e,3,3
231,85,e,3,3
232,85,e,3,3
233,87,e,4,3
