sound_num,pitch,string,position,finger
0,62,g,1,4
1,64,d,1,1
2,62,g,1,4
3,71,a,1,1
4,71,a,1,1
5,69,d,1,4
6,67,d,1,3
7,69,d,1,4
8,67,d,1,3
9,64,d,1,1
10,62,g,1,4
11,67,d,1,3
12,69,d,1,4
13,71,a,1,1
14,74,a,1,3
15,67,d,1,3
16,69,d,1,4
17,71,a,1,1
18,71,a,1,1
19,69,d,1,4
20,69,d,1,4
21,74,a,1,3
22,74,a,1,3
23,74,a,1,3
24,71,a,1,1
25,74,a,1,3
26,71,a,1,1
27,71,a,1,1
28,69,d,1,4
29,71,a,1,1
30,69,d,1,4
31,67,d,1,3
32,64,d,1,1
33,62,g,1,4
34,64,d,1,1
35,62,g,1,4
36,71,a,1,1
37,71,a,1,1
38,69,d,1,4
39,67,d,1,3
40,74,a,1,3
41,76,a,1,4
42,74,a,1,3
43,83,e,1,4
44,83,e,1,4
45,81,e,1,3
46,79,e,1,2
47,81,e,1,3
48,79,e,1,2
49,76,a,1,4
50,74,a,1,3
51,79,e,1,2
52,81,e,1,3
53,83,e,1,4
54,86,e,3,4
55,79,e,1,2
56,81,e,1,3
57,83,e,1,4
58,83,e,1,4
59,81,e,1,3
60,81,e,1,3
61,86,e,3,4
62,86,e,3,4
63,86,e,3,4
64,83,e,1,4
65,86,e,3,4
66,83,e,1,4
67,83,e,1,4
68,81,e,1,3
69,83,e,1,4
70,81,e,1,3
71,79,e,1,2
72,76,a,1,4
73,74,a,1,3
74,76,a,1,4
75,74,a,1,3
76,83,e,1,4
77,83,e,1,4
78,81,e,1,3
79,79,e,1,2
80,64,d,1,1
81,67,d,1,3
82,72,a,1,2
83,76,a,1,4
84,81,e,1,3
85,79,e,1,2
86,79,e,1,2
87,74,a,1,3
88,76,a,1,4
89,79,e,1,2
90,83,e,1,4
91,86,e,3,4
92,88,e,5,3
93,91,e,7,3
94,93,e,7,4
95,93,e,7,4
96,62,g,1,4
97,64,d,1,1
98,66,d,1,2
99,67,d,1,3
100,69,d,1,4
101,71,a,1,1
102,71,a,1,1
103,74,a,1,3
104,76,a,1,4
105,76,a,1,4
106,74,a,1,3
107,71,a,1,1
108,67,d,1,3
109,71,a,1,1
110,67,d,1,3
111,69,d,1,4
112,67,d,1,3
113,64,d,1,1
114,62,g,1,4
115,66,d,1,2
116,69,d,1,4
117,74,a,1,3
118,74,a,1,3
119,72,a,1,2
120,71,a,1,1
121,74,a,1,3
122,76,a,1,4
123,74,a,1,3
124,83,e,1,4
125,83,e,1,4
126,81,e,1,3
127,71,a,1,1
128,76,a,1,4
129,74,a,1,3
130,79,e,1,2
131,81,e,1,3
132,83,e,1,4
133,86,e,3,4
134,79,e,1,2
135,81,e,1,3
136,83,e,1,4
137,83,e,1,4
138,81,e,1,3
139,81,e,1,3
140,86,e,3,4
141,86,e,3,4
142,86,e,3,4
143,83,e,1,4
144,86,e,3,4
145,83,e,1,4
146,83,e,1,4
147,83,e,1,4
148,83,e,1,4
149,81,e,1,3
150,79,e,1,2
151,76,a,1,4
152,74,a,1,3
153,74,a,1,3
154,76,a,1,4
155,74,a,1,3
156,83,e,1,4
157,83,e,1,4
158,83,e,1,4
159,81,e,1,3
160,79,e,1,2
161,62,g,1,4
162,64,d,1,1
163,62,g,1,4
164,71,a,1,1
165,71,a,1,1
166,69,d,1,4
167,67,d,1,3
168,69,d,1,4
169,67,d,1,3
170,64,d,1,1
171,62,g,1,4
172,67,d,1,3
173,69,d,1,4
174,71,a,1,1
175,74,a,1,3
176,67,d,1,3
177,69,d,1,4
178,71,a,1,1
179,71,a,1,1
180,69,d,1,4
181,69,d,1,4
182,74,a,1,3
183,74,a,1,3
184,74,a,1,3
185,71,a,1,1
186,74,a,1,3
187,71,a,1,1
188,71,a,1,1
189,69,d,1,4
190,71,a,1,1
191,69,d,1,4
192,67,d,1,3
193,64,d,1,1
194,62,g,1,4
195,64,d,1,1
196,62,g,1,4
197,71,a,1,1
198,71,a,1,1
199,69,d,1,4
200,67,d,1,3
201,71,a,1,1
202,74,a,1,3
203,76,a,1,4
204,79,e,1,2
205,83,e,1,4
206,86,e,3,4
207,86,e,3,4
208,86,e,3,4
209,83,e,1,4
210,86,e,3,4
211,83,e,1,4
212,83,e,1,4
213,81,e,1,3
214,83,e,1,4
215,81,e,1,3
216,79,e,1,2
217,76,a,1,4
218,74,a,1,3
219,76,a,1,4
220,74,a,1,3
221,83,e,1,4
222,83,e,1,4
223,81,e,1,3
