sound_num,pitch,string,position,finger
0,74,a,1,3
1,74,a,1,3
2,74,a,1,3
3,71,a,1,1
4,79,e,1,2
5,79,e,1,2
6,74,a,1,3
7,83,e,1,4
8,81,e,1,3
9,79,e,1,2
10,76,a,1,4
11,79,e,1,2
12,74,a,1,3
14,57,g,1,1
14,57,g,1,2
15,61,g,1,3
16,64,d,1,1
17,69,d,1,4
18,73,a,1,2
19,76,a,1,4
20,79,e,1,2
21,79,e,1,2
22,78,e,1,1
23,76,a,1,4
24,74,a,1,3
26,57,g,1,1
26,57,g,1,2
27,61,g,1,3
28,64,d,1,1
29,69,d,1,4
30,73,a,1,2
31,76,a,1,4
32,81,e,1,3
33,85,e,3,3
34,88,e,5,3
35,91,e,7,3
36,90,e,7,2
37,88,e,5,3
38,86,e,3,4
39,62,g,1,4
41,59,g,2,1
41,59,g,1,2
42,62,g,1,4
43,67,d,1,3
44,71,a,1,1
45,74,a,1,3
46,77,e,1,1
47,76,a,1,4
48,77,e,1,1
49,81,e,1,3
50,79,e,1,2
51,77,e,1,1
52,76,a,1,4
53,77,e,1,1
54,79,e,1,2
55,81,e,1,3
56,83,e,1,4
57,84,e,3,3
58,86,e,3,4
59,85,e,3,3
60,86,e,3,4
61,89,e,5,4
62,88,e,5,3
63,86,e,3,4
64,84,e,3,3
65,81,e,1,3
66,83,e,1,4
67,84,e,3,3
68,83,e,1,4
69,81,e,1,3
70,85,e,3,3
71,81,e,1,3
72,83,e,1,4
73,85,e,3,3
74,83,e,1,4
75,81,e,1,3
76,86,e,3,4
77,81,e,1,3
78,78,e,1,1
79,74,a,1,3
80,69,d,1,4
81,66,d,1,2
82,62,g,1,4
83,66,d,1,2
84,69,d,1,4
85,74,a,1,3
86,76,a,1,4
87,78,e,1,1
88,79,e,1,2
89,79,e,1,2
90,83,e,1,4
91,86,e,3,4
92,91,e,7,3
93,86,e,3,4
94,83,e,1,4
95,81,e,1,3
96,84,e,3,3
97,90,e,7,2
98,88,e,5,3
99,83,e,1,4
100,79,e,1,2
101,78,e,1,1
102,81,e,1,3
103,86,e,3,4
104,84,e,3,3
105,79,e,1,2
106,76,a,1,4
107,74,a,1,3
108,77,e,1,1
109,83,e,1,4
110,81,e,1,3
111,76,a,1,4
112,72,a,1,2
113,71,a,1,1
114,74,a,1,3
115,79,e,1,2
116,78,e,1,1
117,72,a,1,2
118,69,d,1,4
119,67,d,1,3
120,70,a,1,1
121,76,a,1,4
122,74,a,1,3
123,69,d,1,4
124,66,d,1,2
125,62,g,1,4
126,66,d,1,2
127,69,d,1,4
128,62,g,1,4
129,66,d,1,2
130,69,d,1,4
131,74,a,1,3
132,76,a,1,4
133,78,e,1,1
134,79,e,1,2
135,79,e,1,2
136,83,e,1,4
137,86,e,3,4
138,91,e,7,3
139,86,e,3,4
140,83,e,1,4
141,81,e,1,3
142,84,e,3,3
143,90,e,7,2
144,88,e,5,3
145,83,e,1,4
146,79,e,1,2
147,78,e,1,1
148,81,e,1,3
149,86,e,3,4
150,84,e,3,3
151,79,e,1,2
152,76,a,1,4
153,74,a,1,3
154,77,e,1,1
155,83,e,1,4
156,81,e,1,3
157,76,a,1,4
158,72,a,1,2
159,71,a,1,1
160,74,a,1,3
161,79,e,1,2
162,78,e,1,1
163,72,a,1,2
164,69,d,1,4
165,67,d,1,3
166,70,a,1,1
167,76,a,1,4
168,74,a,1,3
169,69,d,1,4
170,66,d,1,2
171,62,g,1,4
172,66,d,1,2
173,69,d,1,4
174,62,g,1,4
175,66,d,1,2
176,69,d,1,4
177,74,a,1,3
178,76,a,1,4
179,78,e,1,1
180,79,e,1,2
181,86,e,3,4
182,84,e,3,3
183,83,e,1,4
184,81,e,1,3
185,79,e,1,2
186,77,e,1,1
187,76,a,1,4
188,74,a,1,3
189,72,a,1,2
190,71,a,1,1
191,69,d,1,4
192,67,d,1,3
193,67,d,1,3
194,72,a,1,2
195,76,a,1,4
196,79,e,1,2
197,84,e,3,3
198,84,e,3,3
199,83,e,1,4
200,69,d,1,4
201,74,a,1,3
202,78,e,1,1
203,81,e,1,3
204,84,e,3,3
205,88,e,5,3
206,88,e,5,3
207,86,e,3,4
209,67,g,7,1
209,67,d,1,3
210,72,a,1,2
211,76,a,1,4
212,79,e,1,2
213,84,e,3,3
214,84,e,3,3
215,83,e,1,4
216,69,d,1,4
217,74,a,1,3
218,78,e,1,1
219,81,e,1,3
220,84,e,3,3
221,88,e,5,3
222,88,e,5,3
223,86,e,3,4
225,71,g,9,1
225,71,a,1,1
226,74,a,1,3
227,79,e,1,2
228,83,e,1,4
229,86,e,3,4
230,89,e,5,4
231,88,e,5,3
232,76,a,1,4
233,88,e,5,3
234,87,e,5,3
235,75,a,1,3
236,87,e,5,3
237,88,e,5,3
238,76,a,1,4
239,88,e,5,3
240,90,e,7,2
241,78,e,1,1
242,90,e,7,2
243,91,e,7,3
244,79,e,1,2
245,91,e,7,3
246,88,e,5,3
247,85,e,3,3
248,61,g,1,3
249,60,g,1,3
250,61,g,1,3
251,62,g,1,4
252,61,g,1,3
253,62,g,1,4
254,64,d,1,1
255,62,g,1,4
256,64,d,1,1
257,66,d,1,2
258,64,d,1,1
259,66,d,1,2
260,67,d,1,3
261,66,d,1,2
262,67,d,1,3
263,69,d,1,4
264,66,d,1,2
265,62,g,1,4
266,62,g,1,4
267,62,g,1,4
268,62,g,1,4
269,69,d,1,4
270,66,d,1,2
271,62,g,1,4
272,62,g,1,4
273,62,g,1,4
274,62,g,1,4
275,62,g,1,4
276,61,g,1,3
277,62,g,1,4
278,64,d,1,1
279,62,g,1,4
280,64,d,1,1
281,66,d,1,2
282,64,d,1,1
283,66,d,1,2
284,67,d,1,3
285,66,d,1,2
286,67,d,1,3
287,69,d,1,4
288,66,d,1,2
289,62,g,1,4
290,62,g,1,4
291,62,g,1,4
292,62,g,1,4
293,69,d,1,4
294,66,d,1,2
295,62,g,1,4
296,62,g,1,4
297,62,g,1,4
298,62,g,1,4
299,67,d,1,3
300,66,d,1,2
301,67,d,1,3
302,68,d,1,3
303,66,d,1,2
304,68,d,1,3
305,69,d,1,4
306,68,d,1,3
307,69,d,1,4
308,71,a,1,1
309,69,d,1,4
310,71,a,1,1
311,72,a,1,2
312,71,a,1,1
313,72,a,1,2
314,74,a,1,3
315,72,a,1,2
316,74,a,1,3
317,76,a,1,4
318,74,a,1,3
319,76,a,1,4
320,78,e,1,1
321,76,a,1,4
322,78,e,1,1
323,79,e,1,2
324,78,e,1,1
325,79,e,1,2
326,81,e,1,3
327,69,d,1,4
328,81,e,1,3
329,82,e,1,3
330,70,a,1,1
331,82,e,1,3
332,83,e,1,4
333,71,a,1,1
334,83,e,1,4
335,84,e,3,3
336,72,a,1,2
337,84,e,3,3
338,85,e,3,3
339,73,a,1,2
340,85,e,3,3
341,86,e,3,4
342,74,a,1,3
343,86,e,3,4
344,88,e,5,3
345,76,a,1,4
346,88,e,5,3
347,86,e,3,4
348,74,a,1,3
349,62,g,1,4
350,62,g,1,4
351,74,a,1,3
352,86,e,3,4
353,83,e,1,4
354,74,a,1,3
355,62,g,1,4
356,62,g,1,4
357,79,e,1,2
358,91,e,7,3
359,91,e,7,3
360,79,e,1,2
361,62,g,1,4
362,62,g,1,4
363,79,e,1,2
364,91,e,7,3
365,86,e,3,4
366,79,e,1,2
367,62,g,1,4
368,62,g,1,4
369,83,e,1,4
370,95,e,9,3
371,95,e,9,3
372,90,e,7,2
373,91,e,7,3
374,93,e,7,4
375,95,e,9,3
376,96,e,9,4
378,81,d,11,1
378,81,e,1,3
379,81,e,1,3
380,78,e,1,1
381,84,e,3,3
382,84,e,3,3
383,81,e,1,3
384,93,e,7,4
386,76,g,12,1
386,76,a,1,4
387,84,e,3,3
388,84,e,3,3
389,81,e,1,3
390,93,e,7,4
392,84,e,5,1
392,84,e,3,3
393,83,e,1,4
394,81,e,1,3
396,72,g,10,1
396,72,a,1,2
397,71,a,1,1
398,69,d,1,4
399,69,d,1,4
399,69,a,1,0
400,63,d,1,1
401,62,g,1,4
402,60,g,1,3
404,65,g,6,1
404,65,d,1,2
405,64,d,1,1
406,62,g,1,4
407,60,g,1,3
408,64,d,1,1
409,72,a,1,2
410,68,d,1,3
411,69,d,1,4
412,63,d,1,1
413,64,d,1,1
414,59,g,1,2
415,60,g,1,3
416,62,g,1,4
417,65,d,1,2
418,64,d,1,1
419,62,g,1,4
420,60,g,1,3
421,59,g,1,2
422,64,d,1,1
423,64,d,1,1
424,60,g,1,3
425,64,d,1,1
426,72,a,1,2
427,68,d,1,3
428,69,d,1,4
429,63,d,1,1
430,71,a,1,1
431,71,a,1,1
432,67,d,1,3
433,71,a,1,1
