sound_num,pitch,string,position,finger
0,79,e,1,2
1,79,e,1,2
2,78,e,1,1
3,79,e,1,2
4,78,e,1,1
5,79,e,1,2
6,78,e,1,1
7,79,e,1,2
8,76,a,1,4
9,74,a,1,3
10,74,a,1,3
11,73,a,1,2
12,74,a,1,3
13,73,a,1,2
14,74,a,1,3
15,73,a,1,2
16,74,a,1,3
17,72,a,1,2
18,71,a,1,1
19,71,a,1,1
20,72,a,1,2
21,71,a,1,1
22,72,a,1,2
23,74,a,1,3
24,76,a,1,4
25,67,d,1,3
26,66,d,1,2
27,66,d,1,2
28,81,e,1,3
29,81,e,1,3
30,79,e,1,2
31,78,e,1,1
32,79,e,1,2
33,81,e,1,3
34,83,e,1,4
35,81,e,1,3
36,83,e,1,4
37,84,e,3,3
38,81,e,1,3
39,84,e,3,3
40,84,e,3,3
41,81,e,1,3
42,84,e,3,3
43,84,e,3,3
44,83,e,1,4
45,81,e,1,3
46,83,e,1,4
47,81,e,1,3
48,67,d,1,3
49,78,e,1,1
50,76,a,1,4
51,74,a,1,3
52,76,a,1,4
53,72,a,1,2
54,74,a,1,3
55,71,a,1,1
56,72,a,1,2
57,69,d,1,4
58,76,a,1,4
59,76,a,1,4
60,67,d,1,3
61,67,d,1,3
62,71,a,1,1
63,69,d,1,4
64,67,d,3,1
64,79,a,3,4
65,83,e,1,4
66,86,e,3,4
67,86,e,3,4
68,85,e,3,3
69,86,e,3,4
70,85,e,3,3
71,86,e,3,4
72,88,e,5,3
73,86,e,3,4
74,84,e,3,3
75,83,e,1,4
76,80,e,1,2
77,81,e,1,3
78,73,a,1,2
79,74,a,1,3
80,73,a,1,2
81,74,a,1,3
82,76,a,1,4
83,74,a,1,3
84,72,a,1,2
85,71,a,1,1
86,68,d,1,3
87,69,d,1,4
88,74,a,1,3
89,78,e,1,1
90,83,e,1,4
91,81,e,1,3
92,79,e,1,2
93,79,e,1,2
94,81,e,1,3
95,83,e,1,4
96,81,e,1,3
97,79,e,1,2
98,78,e,1,1
99,76,a,1,4
100,74,a,1,3
101,73,a,1,2
102,73,a,1,2
103,74,a,1,3
104,75,a,1,3
105,76,a,1,4
106,76,a,1,4
107,79,e,1,2
108,78,e,1,1
109,81,e,1,3
110,79,e,1,2
111,67,d,1,3
112,66,d,1,2
113,81,e,1,3
114,79,e,1,2
115,78,e,1,1
116,76,a,1,4
117,74,a,1,3
118,73,a,1,2
119,72,a,1,2
120,71,a,1,1
121,73,a,1,2
122,75,a,1,3
123,76,a,1,4
124,78,e,1,1
125,79,e,1,2
126,81,e,1,3
127,83,e,1,4
128,85,e,3,3
129,86,e,3,4
130,85,e,3,3
131,83,e,1,4
132,81,e,1,3
133,79,e,1,2
134,78,e,1,1
135,76,a,1,4
136,75,a,1,3
137,76,a,1,4
138,78,e,1,1
139,79,e,1,2
140,81,e,1,3
141,83,e,1,4
142,82,e,1,3
143,83,e,1,4
144,85,e,3,3
145,86,e,3,4
146,85,e,3,3
147,83,e,1,4
148,81,e,1,3
149,79,e,1,2
150,78,e,1,1
151,76,a,1,4
152,75,a,1,3
153,76,a,1,4
154,78,e,1,1
