sound_num,pitch,string,position,finger
0,74,a,1,3
1,74,a,1,3
2,75,a,1,3
3,75,a,1,3
4,72,a,1,2
5,70,a,1,1
6,72,a,1,2
7,74,a,1,3
8,70,a,1,1
9,69,d,1,4
10,70,a,1,1
11,67,d,1,3
12,72,a,1,2
13,75,a,1,3
14,69,d,1,4
15,67,d,1,3
16,69,d,1,4
17,67,d,1,3
18,70,a,1,1
19,74,a,1,3
20,74,a,1,3
21,77,e,1,1
22,75,a,1,3
23,75,a,1,3
24,72,a,1,2
25,70,a,1,1
26,72,a,1,2
27,74,a,1,3
28,70,a,1,1
29,69,d,1,4
30,70,a,1,1
31,67,d,1,3
32,72,a,1,2
33,75,a,1,3
34,69,d,1,4
35,67,d,1,3
36,69,d,1,4
37,67,d,1,3
38,74,a,1,3
39,67,d,1,3
40,66,d,1,2
41,69,d,1,4
42,81,e,1,3
43,74,a,1,3
44,79,e,1,2
45,82,e,1,3
46,79,e,1,2
47,73,a,1,2
48,74,a,1,3
49,78,e,1,1
50,78,e,1,1
51,81,e,1,3
52,81,e,1,3
53,86,e,3,4
54,62,g,1,4
55,67,d,1,3
56,67,d,1,3
57,67,d,1,3
58,69,d,1,4
59,71,a,1,1
60,71,a,1,1
61,71,a,1,1
62,67,d,1,3
63,69,d,1,4
64,69,d,1,4
65,69,d,1,4
66,66,d,1,2
67,67,d,1,3
68,66,d,1,2
69,67,d,1,3
70,69,d,1,4
71,67,d,1,3
72,86,e,3,4
73,83,e,1,4
74,79,e,1,2
75,74,a,1,3
76,79,e,1,2
77,83,e,1,4
78,86,e,3,4
79,83,e,1,4
80,74,a,1,3
81,84,e,3,3
82,81,e,1,3
83,74,a,1,3
84,83,e,1,4
85,79,e,1,2
86,74,a,1,3
87,71,a,1,1
88,74,a,1,3
89,79,e,1,2
90,83,e,1,4
91,79,e,1,2
92,74,a,1,3
93,79,e,1,2
94,74,a,1,3
95,71,a,1,1
96,81,e,1,3
97,76,a,1,4
98,72,a,1,2
99,69,d,1,4
100,72,a,1,2
101,76,a,1,4
102,78,e,1,1
103,84,e,3,3
104,81,e,1,3
105,78,e,1,1
106,74,a,1,3
107,72,a,1,2
108,71,a,1,1
109,74,a,1,3
110,71,a,1,1
111,79,e,1,2
112,74,a,1,3
113,71,a,1,1
114,67,d,1,3
115,74,a,1,3
116,74,a,1,3
117,76,a,1,4
118,74,a,1,3
119,72,a,1,2
120,71,a,1,1
121,69,d,1,4
122,71,a,1,1
123,72,a,1,2
124,74,a,1,3
125,74,a,1,3
126,76,a,1,4
127,74,a,1,3
128,72,a,1,2
129,72,a,1,2
130,71,a,1,1
131,86,e,3,4
132,83,e,1,4
133,79,e,1,2
134,74,a,1,3
135,79,e,1,2
136,83,e,1,4
137,86,e,3,4
138,83,e,1,4
139,74,a,1,3
140,84,e,3,3
141,81,e,1,3
142,74,a,1,3
143,83,e,1,4
144,79,e,1,2
145,74,a,1,3
146,71,a,1,1
147,74,a,1,3
148,79,e,1,2
149,83,e,1,4
150,79,e,1,2
151,74,a,1,3
152,79,e,1,2
153,74,a,1,3
154,71,a,1,1
155,81,e,1,3
156,76,a,1,4
157,72,a,1,2
158,69,d,1,4
159,72,a,1,2
160,76,a,1,4
161,78,e,1,1
162,84,e,3,3
163,81,e,1,3
164,78,e,1,1
165,74,a,1,3
166,72,a,1,2
167,71,a,1,1
168,74,a,1,3
169,71,a,1,1
170,79,e,1,2
171,74,a,1,3
172,71,a,1,1
173,67,d,1,3
174,74,a,1,3
175,74,a,1,3
176,76,a,1,4
177,74,a,1,3
178,72,a,1,2
179,71,a,1,1
180,69,d,1,4
181,71,a,1,1
182,72,a,1,2
183,74,a,1,3
184,74,a,1,3
185,76,a,1,4
186,74,a,1,3
187,72,a,1,2
188,72,a,1,2
189,71,a,1,1
190,86,e,3,4
191,83,e,1,4
192,79,e,1,2
193,74,a,1,3
194,79,e,1,2
195,83,e,1,4
196,86,e,3,4
197,83,e,1,4
198,74,a,1,3
199,84,e,3,3
200,81,e,1,3
201,74,a,1,3
202,83,e,1,4
203,79,e,1,2
204,74,a,1,3
205,71,a,1,1
206,74,a,1,3
207,79,e,1,2
208,83,e,1,4
209,79,e,1,2
210,74,a,1,3
211,79,e,1,2
212,74,a,1,3
213,71,a,1,1
214,81,e,1,3
215,76,a,1,4
216,72,a,1,2
217,69,d,1,4
218,72,a,1,2
219,76,a,1,4
220,78,e,1,1
221,84,e,3,3
222,81,e,1,3
223,78,e,1,1
224,74,a,1,3
225,72,a,1,2
226,69,d,1,4
227,66,d,1,2
228,62,g,1,4
229,60,g,1,3
230,59,g,1,2
231,57,g,1,1
233,66,g,7,1
233,66,d,1,2
234,67,d,1,3
235,66,d,1,2
236,67,d,1,3
237,71,a,1,1
238,66,d,1,2
239,67,d,1,3
240,74,a,1,3
241,66,d,1,2
242,67,d,1,3
243,70,a,1,1
244,71,a,1,1
245,73,a,1,2
246,74,a,1,3
247,78,e,1,1
248,79,e,1,2
249,82,e,1,3
250,83,e,1,4
251,86,e,3,4
253,81,d,11,1
253,81,e,1,3
254,77,e,1,1
255,75,a,1,3
256,76,a,1,4
257,76,a,1,4
259,77,e,1,1
259,77,a,3,3
260,74,a,1,3
261,71,a,1,1
262,72,a,1,2
263,72,a,1,2
264,72,a,2,1
264,84,e,2,4
265,81,e,1,3
266,79,e,1,2
267,78,e,1,1
268,86,e,3,4
269,83,e,1,4
270,81,e,1,3
271,79,e,1,2
272,76,a,1,4
273,88,e,5,3
274,86,e,3,4
275,84,e,3,3
276,83,e,1,4
277,81,e,1,3
278,79,e,1,2
279,78,e,1,1
280,74,a,1,3
281,86,e,3,4
282,84,e,3,3
283,81,e,1,3
284,79,e,1,2
285,79,e,1,2
286,79,e,1,2
287,87,e,4,3
288,84,e,3,3
289,81,e,1,3
290,79,e,1,2
291,78,e,1,1
292,78,e,1,1
293,78,e,1,1
294,78,e,1,1
295,71,a,1,1
296,74,a,1,3
297,76,a,1,4
298,74,a,1,3
299,76,a,1,4
300,74,a,1,3
301,79,e,1,2
302,74,a,1,3
303,76,a,1,4
304,74,a,1,3
305,76,a,1,4
306,74,a,1,3
307,81,e,1,3
308,74,a,1,3
309,76,a,1,4
310,74,a,1,3
311,76,a,1,4
312,74,a,1,3
313,69,d,1,4
314,74,a,1,3
315,71,a,1,1
316,74,a,1,3
317,72,a,1,2
318,74,a,1,3
319,71,a,1,1
320,74,a,1,3
321,76,a,1,4
322,74,a,1,3
323,76,a,1,4
324,74,a,1,3
325,79,e,1,2
326,74,a,1,3
327,76,a,1,4
328,74,a,1,3
329,76,a,1,4
330,74,a,1,3
331,81,e,1,3
332,74,a,1,3
333,76,a,1,4
334,74,a,1,3
335,76,a,1,4
336,74,a,1,3
337,69,d,1,4
338,74,a,1,3
339,71,a,1,1
340,74,a,1,3
341,72,a,1,2
342,74,a,1,3
343,71,a,1,1
344,74,a,1,3
345,79,e,1,2
346,71,a,1,1
347,69,d,1,4
348,78,e,1,1
349,67,d,1,3
350,76,a,1,4
351,66,d,1,2
352,74,a,1,3
353,64,d,1,1
354,72,a,1,2
355,62,g,1,4
356,71,a,1,1
357,60,g,1,3
358,69,d,1,4
359,59,g,1,2
360,67,d,1,3
361,57,g,1,1
362,66,d,1,2
363,62,g,1,4
364,72,a,1,2
365,67,d,1,3
366,71,a,1,1
367,60,g,1,3
368,76,a,1,4
369,75,a,1,3
370,76,a,1,4
371,75,a,1,3
372,76,a,1,4
373,79,e,1,2
374,78,e,1,1
375,79,e,1,2
376,78,e,1,1
377,79,e,1,2
378,62,g,1,4
378,69,d,1,4
379,69,d,1,4
380,67,d,1,3
381,69,d,1,4
382,71,a,1,1
383,74,a,1,3
384,79,e,1,2
385,71,a,1,1
386,69,d,1,4
387,78,e,1,1
388,67,d,1,3
389,76,a,1,4
390,66,d,1,2
391,74,a,1,3
392,64,d,1,1
393,72,a,1,2
394,62,g,1,4
395,71,a,1,1
396,60,g,1,3
397,69,d,1,4
398,59,g,1,2
399,67,d,1,3
400,57,g,1,1
401,66,d,1,2
402,62,g,1,4
403,72,a,1,2
404,67,d,1,3
405,71,a,1,1
406,60,g,1,3
407,76,a,1,4
408,75,a,1,3
409,76,a,1,4
410,75,a,1,3
411,76,a,1,4
412,88,e,5,3
413,87,e,5,3
414,88,e,5,3
415,87,e,5,3
416,88,e,5,3
417,62,d,5,0
417,81,a,5,3
418,81,e,1,3
419,79,e,1,2
420,81,e,1,3
421,79,e,1,2
422,81,e,1,3
423,83,e,1,4
424,84,e,3,3
425,86,e,3,4
426,88,e,5,3
428,84,e,5,1
428,84,e,3,3
429,81,e,1,3
430,79,e,1,2
431,78,e,1,1
