sound_num,pitch,string,position,finger
0,63,d,1,1
1,63,d,1,1
2,65,d,1,2
3,68,d,1,3
4,70,a,1,1
5,68,d,1,3
6,70,a,1,1
7,72,a,1,2
8,75,a,1,3
9,72,a,1,2
10,72,a,1,2
11,70,a,1,1
12,68,d,1,3
13,70,d,2,4
13,72,a,2,1
14,75,a,1,3
15,75,a,1,3
16,72,a,1,2
17,75,a,1,3
18,68,d,1,3
19,70,a,1,1
20,70,a,1,1
21,63,d,1,1
22,72,a,1,2
23,72,a,1,2
24,70,a,1,1
25,68,d,1,3
26,68,d,1,3
27,72,a,1,2
28,72,a,1,2
29,75,a,1,3
30,75,a,1,3
31,77,e,1,1
32,77,e,1,1
33,80,e,1,2
34,80,e,1,2
35,82,e,1,3
36,82,e,1,3
37,84,e,3,3
38,82,e,1,3
39,80,e,1,2
40,82,e,1,3
41,84,e,3,3
42,84,e,3,3
43,82,e,1,3
44,80,e,1,2
45,77,e,1,1
46,75,a,1,3
47,77,e,1,1
48,80,e,1,2
49,65,d,1,2
50,73,a,1,2
51,68,d,1,3
52,70,a,1,1
53,72,a,1,2
54,75,a,1,3
55,75,a,1,3
56,77,e,1,1
57,75,a,1,3
58,75,a,1,3
59,75,a,1,3
60,75,a,1,3
61,75,a,1,3
62,77,e,1,1
63,75,a,1,3
64,72,a,1,2
65,72,a,1,2
66,70,a,1,1
67,68,d,1,3
68,65,d,1,2
69,63,d,1,1
70,72,a,1,2
71,72,a,1,2
72,70,a,1,1
73,63,g,3,3
73,68,d,3,2
74,63,d,1,1
75,65,d,1,2
76,68,d,1,3
77,70,a,1,1
78,72,a,1,2
79,70,a,1,1
80,68,d,1,3
81,70,a,1,1
82,72,a,1,2
83,77,e,1,1
84,75,a,1,3
85,72,a,1,2
86,75,a,1,3
87,77,e,1,1
88,79,e,1,2
89,87,e,4,3
90,84,e,3,3
91,84,e,3,3
92,85,e,3,3
93,84,e,3,3
94,82,e,1,3
95,80,e,1,2
96,84,e,3,3
97,80,e,1,2
98,77,e,1,1
99,80,e,1,2
100,82,e,1,3
101,77,e,1,1
102,82,e,1,3
103,83,e,1,4
104,84,e,3,3
105,87,e,5,3
106,89,e,5,4
107,87,e,5,3
108,84,e,3,3
109,87,e,4,3
110,80,e,1,2
111,82,e,1,3
112,82,e,1,3
113,63,d,1,1
114,65,d,1,2
115,68,d,1,3
116,70,a,1,1
117,72,a,1,2
118,77,e,1,1
119,75,a,1,3
120,72,a,1,2
121,73,a,1,2
122,77,e,1,1
123,80,e,1,2
124,84,e,3,3
125,82,e,1,3
126,82,e,1,3
127,80,e,1,2
128,80,e,1,2
129,70,a,1,1
130,70,a,1,1
131,72,a,1,2
132,70,a,1,1
133,68,d,1,3
134,65,d,1,2
135,77,e,1,1
136,75,a,1,3
137,77,e,1,1
138,80,e,1,2
139,77,e,1,1
140,68,d,1,3
141,73,a,1,2
142,75,a,1,3
143,77,e,1,1
144,68,d,1,3
145,80,e,1,2
146,68,d,1,3
147,82,e,1,3
148,70,a,1,1
149,74,a,1,3
150,77,e,1,1
151,84,e,3,3
152,77,e,1,1
153,86,e,3,4
154,77,e,1,1
155,87,e,4,3
156,75,a,1,3
157,75,a,1,3
158,77,e,1,1
159,79,e,1,2
160,80,e,1,2
161,80,e,1,2
162,82,e,1,3
163,82,e,1,3
164,84,e,3,3
165,84,e,3,3
166,85,e,3,3
167,85,e,3,3
168,87,e,5,3
169,87,e,5,3
170,89,e,5,4
171,87,e,5,3
172,84,e,3,3
173,84,e,3,3
174,82,e,1,3
175,80,e,1,2
176,77,e,1,1
177,75,a,1,3
178,63,d,1,1
179,72,a,1,2
180,72,a,1,2
181,77,e,1,1
182,75,a,1,3
183,77,e,1,1
184,80,e,1,2
185,68,d,1,3
186,80,e,1,2
187,79,e,1,2
188,80,e,1,2
189,82,e,1,3
190,84,e,3,3
