pitch,time_start,duration,beat_type,string,position,finger
76,0,480,8th,N/A,N/A,N/A
69,120,480,8th,N/A,N/A,N/A
64,300,120,16th,N/A,N/A,N/A
64,360,120,32th,N/A,N/A,N/A
69,390,60,32th,N/A,N/A,N/A
72,420,60,32th,N/A,N/A,N/A
76,450,30,32th,N/A,N/A,N/A
77,0,30,8th,N/A,N/A,N/A
72,120,30,8th,N/A,N/A,N/A
65,300,30,16th,N/A,N/A,N/A
65,360,120,32th,N/A,N/A,N/A
69,390,120,32th,N/A,N/A,N/A
72,420,60,32th,N/A,N/A,N/A
77,450,60,32th,N/A,N/A,N/A
81,0,30,8th,N/A,N/A,N/A
79,180,30,32th,N/A,N/A,N/A
77,210,30,32th,N/A,N/A,N/A
76,240,30,16th,N/A,N/A,N/A
72,360,180,16th,N/A,N/A,N/A
74,0,30,2th,N/A,N/A,N/A
77,0,30,8th,N/A,N/A,N/A
69,120,60,8th,N/A,N/A,N/A
65,300,60,16th,N/A,N/A,N/A
65,360,60,32th,N/A,N/A,N/A
69,390,60,32th,N/A,N/A,N/A
74,420,480,32th,N/A,N/A,N/A
77,450,120,32th,N/A,N/A,N/A
76,0,120,8th,N/A,N/A,N/A
68,120,60,8th,N/A,N/A,N/A
62,300,60,16th,N/A,N/A,N/A
62,360,30,32th,N/A,N/A,N/A
64,390,30,32th,N/A,N/A,N/A
68,420,30,32th,N/A,N/A,N/A
74,450,30,32th,N/A,N/A,N/A
72,0,120,8th,N/A,N/A,N/A
71,180,120,32th,N/A,N/A,N/A
69,210,60,32th,N/A,N/A,N/A
68,240,60,8th,N/A,N/A,N/A
69,360,30,8th,N/A,N/A,N/A
71,0,30,4th,N/A,N/A,N/A
71,240,30,16th,N/A,N/A,N/A
72,288,30,16th,N/A,N/A,N/A
74,336,180,16th,N/A,N/A,N/A
75,384,30,16th,N/A,N/A,N/A
76,431,30,16th,N/A,N/A,N/A
76,0,120,8th,N/A,N/A,N/A
69,120,120,8th,N/A,N/A,N/A
64,300,240,16th,N/A,N/A,N/A
64,360,48,32th,N/A,N/A,N/A
69,390,48,32th,N/A,N/A,N/A
73,420,48,32th,N/A,N/A,N/A
76,450,48,32th,N/A,N/A,N/A
77,0,48,8th,N/A,N/A,N/A
69,120,120,8th,N/A,N/A,N/A
62,300,120,16th,N/A,N/A,N/A
62,360,60,32th,N/A,N/A,N/A
65,384,60,32th,N/A,N/A,N/A
69,408,30,32th,N/A,N/A,N/A
74,431,30,32th,N/A,N/A,N/A
77,456,30,32th,N/A,N/A,N/A
81,0,30,8th,N/A,N/A,N/A
79,180,120,32th,N/A,N/A,N/A
77,210,120,32th,N/A,N/A,N/A
76,240,60,16th,N/A,N/A,N/A
72,360,60,16th,N/A,N/A,N/A
74,0,24,2th,N/A,N/A,N/A
77,0,24,8th,N/A,N/A,N/A
69,120,24,8th,N/A,N/A,N/A
65,300,24,16th,N/A,N/A,N/A
65,360,24,32th,N/A,N/A,N/A
69,390,180,32th,N/A,N/A,N/A
74,420,30,32th,N/A,N/A,N/A
77,450,30,32th,N/A,N/A,N/A
76,0,60,8th,N/A,N/A,N/A
68,120,60,8th,N/A,N/A,N/A
62,300,60,16th,N/A,N/A,N/A
62,360,60,32th,N/A,N/A,N/A
64,390,480,32th,N/A,N/A,N/A
69,420,120,32th,N/A,N/A,N/A
74,450,120,32th,N/A,N/A,N/A
72,0,60,8th,N/A,N/A,N/A
72,120,60,16th,N/A,N/A,N/A
71,160,30,16th,N/A,N/A,N/A
69,199,30,16th,N/A,N/A,N/A
70,240,30,16th,N/A,N/A,N/A
68,360,30,16th,N/A,N/A,N/A
69,0,120,8th,N/A,N/A,N/A
69,240,120,32th,N/A,N/A,N/A
72,270,60,32th,N/A,N/A,N/A
76,300,60,32th,N/A,N/A,N/A
76,330,30,32th,N/A,N/A,N/A
68,360,30,32th,N/A,N/A,N/A
71,390,30,32th,N/A,N/A,N/A
76,420,30,32th,N/A,N/A,N/A
76,450,120,32th,N/A,N/A,N/A
71,0,40,32th,N/A,N/A,N/A
74,30,40,32th,N/A,N/A,N/A
76,60,40,32th,N/A,N/A,N/A
76,90,60,32th,N/A,N/A,N/A
69,120,60,32th,N/A,N/A,N/A
72,150,60,32th,N/A,N/A,N/A
76,180,60,32th,N/A,N/A,N/A
76,210,180,32th,N/A,N/A,N/A
72,240,60,32th,N/A,N/A,N/A
76,270,30,32th,N/A,N/A,N/A
81,300,30,32th,N/A,N/A,N/A
81,330,30,32th,N/A,N/A,N/A
74,360,30,32th,N/A,N/A,N/A
77,390,30,32th,N/A,N/A,N/A
83,420,30,32th,N/A,N/A,N/A
83,450,30,32th,N/A,N/A,N/A
80,0,30,8th,N/A,N/A,N/A
76,120,30,8th,N/A,N/A,N/A
79,240,30,8th,N/A,N/A,N/A
77,420,30,32th,N/A,N/A,N/A
76,440,30,32th,N/A,N/A,N/A
74,459,30,32th,N/A,N/A,N/A
76,0,30,8th,N/A,N/A,N/A
72,120,30,8th,N/A,N/A,N/A
76,240,30,8th,N/A,N/A,N/A
76,360,30,16th,N/A,N/A,N/A
74,420,30,64th,N/A,N/A,N/A
72,435,30,64th,N/A,N/A,N/A
71,450,30,64th,N/A,N/A,N/A
74,465,30,64th,N/A,N/A,N/A
72,0,30,16th,N/A,N/A,N/A
71,60,30,16th,N/A,N/A,N/A
69,120,30,8th,N/A,N/A,N/A
57,240,120,32th,N/A,N/A,N/A
60,270,120,32th,N/A,N/A,N/A
64,300,180,32th,N/A,N/A,N/A
64,330,20,32th,N/A,N/A,N/A
56,360,20,32th,N/A,N/A,N/A
59,390,20,32th,N/A,N/A,N/A
64,420,120,32th,N/A,N/A,N/A
64,450,120,32th,N/A,N/A,N/A
59,0,120,32th,N/A,N/A,N/A
62,30,60,32th,N/A,N/A,N/A
64,60,15,32th,N/A,N/A,N/A
64,90,15,32th,N/A,N/A,N/A
57,120,15,32th,N/A,N/A,N/A
60,150,15,32th,N/A,N/A,N/A
64,180,60,32th,N/A,N/A,N/A
64,210,60,32th,N/A,N/A,N/A
60,240,120,32th,N/A,N/A,N/A
64,270,30,32th,N/A,N/A,N/A
69,300,30,32th,N/A,N/A,N/A
69,330,30,32th,N/A,N/A,N/A
62,360,30,32th,N/A,N/A,N/A
65,390,30,32th,N/A,N/A,N/A
71,420,30,32th,N/A,N/A,N/A
71,450,30,32th,N/A,N/A,N/A
68,0,30,8th,N/A,N/A,N/A
64,120,30,8th,N/A,N/A,N/A
67,240,30,8th,N/A,N/A,N/A
67,360,30,16th,N/A,N/A,N/A
65,420,30,64th,N/A,N/A,N/A
64,435,30,64th,N/A,N/A,N/A
62,450,30,64th,N/A,N/A,N/A
65,465,30,64th,N/A,N/A,N/A
64,0,30,8th,N/A,N/A,N/A
60,120,30,8th,N/A,N/A,N/A
59,240,30,8th,N/A,N/A,N/A
59,360,30,32th,N/A,N/A,N/A
57,390,30,32th,N/A,N/A,N/A
56,420,30,32th,N/A,N/A,N/A
57,450,30,32th,N/A,N/A,N/A
56,0,30,32th,N/A,N/A,N/A
59,30,30,32th,N/A,N/A,N/A
64,60,120,32th,N/A,N/A,N/A
68,90,120,32th,N/A,N/A,N/A
71,120,120,16th,N/A,N/A,N/A
76,180,60,16th,N/A,N/A,N/A
73,240,15,16th,N/A,N/A,N/A
76,300,15,16th,N/A,N/A,N/A
71,360,15,16th,N/A,N/A,N/A
76,420,15,16th,N/A,N/A,N/A
69,0,120,32th,N/A,N/A,N/A
73,30,120,32th,N/A,N/A,N/A
76,60,120,32th,N/A,N/A,N/A
78,90,30,32th,N/A,N/A,N/A
85,120,30,8th,N/A,N/A,N/A
69,240,30,32th,N/A,N/A,N/A
71,270,30,32th,N/A,N/A,N/A
75,300,30,32th,N/A,N/A,N/A
78,330,30,32th,N/A,N/A,N/A
83,360,30,8th,N/A,N/A,N/A
80,0,30,32th,N/A,N/A,N/A
83,30,60,32th,N/A,N/A,N/A
88,60,60,32th,N/A,N/A,N/A
92,90,60,32th,N/A,N/A,N/A
95,120,60,16th,N/A,N/A,N/A
88,180,60,16th,N/A,N/A,N/A
85,240,60,16th,N/A,N/A,N/A
88,300,30,16th,N/A,N/A,N/A
83,360,30,16th,N/A,N/A,N/A
88,420,30,16th,N/A,N/A,N/A
81,0,30,32th,N/A,N/A,N/A
85,30,120,32th,N/A,N/A,N/A
88,60,30,32th,N/A,N/A,N/A
90,90,30,32th,N/A,N/A,N/A
97,120,30,8th,N/A,N/A,N/A
97,240,30,32th,N/A,N/A,N/A
95,270,120,32th,N/A,N/A,N/A
93,300,30,32th,N/A,N/A,N/A
90,330,30,32th,N/A,N/A,N/A
87,360,30,32th,N/A,N/A,N/A
81,390,30,32th,N/A,N/A,N/A
85,420,60,32th,N/A,N/A,N/A
81,450,60,32th,N/A,N/A,N/A
83,0,60,32th,N/A,N/A,N/A
80,30,60,32th,N/A,N/A,N/A
81,60,60,32th,N/A,N/A,N/A
78,90,60,32th,N/A,N/A,N/A
75,120,30,32th,N/A,N/A,N/A
71,150,30,32th,N/A,N/A,N/A
73,180,30,32th,N/A,N/A,N/A
69,210,30,32th,N/A,N/A,N/A
71,240,120,32th,N/A,N/A,N/A
68,270,30,32th,N/A,N/A,N/A
69,300,30,32th,N/A,N/A,N/A
66,330,30,32th,N/A,N/A,N/A
63,360,30,32th,N/A,N/A,N/A
59,390,30,32th,N/A,N/A,N/A
63,420,30,32th,N/A,N/A,N/A
66,450,30,32th,N/A,N/A,N/A
69,0,30,32th,N/A,N/A,N/A
71,30,30,32th,N/A,N/A,N/A
75,60,30,32th,N/A,N/A,N/A
78,90,30,32th,N/A,N/A,N/A
81,120,30,32th,N/A,N/A,N/A
78,150,30,32th,N/A,N/A,N/A
75,180,30,32th,N/A,N/A,N/A
71,210,30,32th,N/A,N/A,N/A
69,240,30,32th,N/A,N/A,N/A
